"","study","wave","version","versn_s","doi_gesis","doi_wvsa","studytit","uniqid","intrvwr_id","cntry","cntry_AN","cntrycow","year","fw_start","fw_end","cntry_y","mode","mm_mixed_mode_EVS5","mm_mode_fu_EVS5","mm_matrix_group_EVS5","mm_fw_start_fu_EVS5","mm_fw_end_fu_EVS5","mm_year_fu_EVS5","ivlength","ivstart","ivstend","ivdate","mm_v277_fu_EVS5","mm_v278a_fu_r_EVS5","mm_v279a_fu_r_EVS5","lnge_num","lnge_iso","gwght","pwght","wght_eq1000","reg_nuts1","reg_nuts2","reg_iso","size_5c","respint","A001","A002","A003","A004","A005","A006","A008","A009","A170","A173","A027","A029","A030","A032","A034","A035","A038","A039","A040","A041","A042","A065","A066","A067","A068","A071","A072","A074","A078","A079","A080_01","A080_02","A124_02","A124_03","A124_06","A124_08","A124_09","A165","B008","C001","C001_01","C002","C002_01","D081","D026_03","D026_05","C038","C039","C041","D001_B","G007_18_B","G007_33_B","G007_34_B","G007_35_B","G007_36_B","D054","D059","D060","D061","D078","E001","E002","E003","E004","Y002","E012","E015","E018","E023","E025","E026","E027","E028","E033","E035","E036","E037","E039","E069_01","E069_02","E069_04","E069_05","E069_06","E069_07","E069_08","E069_18A","E069_18","E069_11","E069_12","E069_13","E069_14","E069_17","E069_20","E111_01","E114","E115","E116","E117","E179_WVS7","E181_EVS5","E224","E225","E226","E227","E228","E229","E233","E233A","E233B","E235","E236","E263","E264","E265_01","E265_02","E265_03","E265_04","E265_05","E265_06","E265_07","E265_08","F025","F028","F028B_WVS7","F066_EVS5","F034","F050","F051","F053","F054","F063","F114A","F115","F116","F117","F118","F119","F120","F121","F122","F123","F132","E290","F144_02","G005","G006","G052","G062","G063","G255","G256","G257","H009","H010","H011","X001","X002","X003","X003R","X003R2","G027A","X002_02A","X002_02B","V002","V002A","V002A_01","V001","V001A","V001A_01","X007","x026_01","X011","X013","X025A_01","X025R","W002A_01","W002R","V004AM_01","V004RM","V004AF_01","V004RF","X028","W003","X052","X035_EVS5","X036E_WVS7","V097EF","W005_EVS5","W006E_WVS7","X047_WVS7","X047E_EVS5"
"19174",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",246050001,NA,246,"FI",375,2017,201711,201806,2462017,3,1,NA,7,NA,NA,NA,34,20.18,20.52,20180103,NA,NA,NA,141,"fi",1.34851285699235,0.367632443703086,0.834028356964137,"FI1","FI1B",NA,5,1,1,1,1,2,2,4,2,1,8,9,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,2,5,1,5,3,3,3,3,1,2,1,2,1,1,3,4,4,4,4,3,1,1,2,2,0,2,2,1,1,2,1,3,5,6,5,5,4,3,2,2,3,2,2,2,2,2,2,3,3,2,2,2,7,4,2,4,1,NA,24605,8,1,8,7,5,10,10,7,7,10,8,2,1,1,4,3,4,2,1,3,4,0,8,NA,7,2,0,0,0,0,1,2,2,2,1,10,3,9,10,9,6,8,1,1,1,2,5,1,1,2,3,2,2,3,2,2,1987,30,2,2,1,246,"FI",1,246,"FI",1,246,"FI",6,1,0,2,7,3,7,3,6,3,3,2,1,7,2,24,NA,6,12,NA,NA,9
"19175",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",246050002,NA,246,"FI",375,2017,201711,201806,2462017,3,1,NA,7,NA,NA,NA,39,9.25,10.04,20171128,NA,NA,NA,141,"fi",0.635670541429954,0.367632443703086,0.834028356964137,"FI1","FI1B",NA,5,1,1,1,2,2,2,4,2,4,8,8,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,5,2,4,2,5,1,4,2,3,1,2,2,2,2,2,3,4,4,3,4,3,4,4,2,3,0,1,2,1,2,2,2,3,3,1,2,10,2,3,3,2,3,1,3,2,2,2,4,4,3,2,2,3,1,3,2,4,2,NA,24605,10,1,10,10,0,10,10,10,1,10,1,1,1,1,4,3,4,1,1,3,4,0,8,NA,7,1,1,1,0,0,1,1,1,4,1,10,8,9,10,9,8,9,1,1,1,1,5,2,2,1,4,1,1,4,4,1,1954,63,5,3,1,246,"FI",1,246,"FI",1,246,"FI",6,1,0,1,6,3,NA,NA,2,1,1,1,7,NA,NA,11,NA,4,NA,NA,NA,1
"19176",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",246050003,NA,246,"FI",375,2017,201711,201806,2462017,3,1,NA,7,NA,NA,NA,29,14.46,15.15,20180215,NA,NA,NA,141,"fi",1.20729026536997,0.367632443703086,0.834028356964137,"FI1","FI1B",NA,5,2,1,1,1,1,2,4,2,1,9,9,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,2,5,2,5,3,4,3,1,1,4,1,2,2,2,2,2,4,3,4,3,3,2,1,4,1,2,1,1,3,1,1,1,2,2,9,9,1,5,1,3,1,3,4,2,3,2,3,3,3,3,2,2,1,3,6,3,3,3,2,NA,24602,3,1,10,2,1,9,5,3,3,10,8,1,1,1,4,2,4,3,1,4,4,0,8,NA,7,3,0,0,0,0,1,1,1,2,1,10,8,10,10,9,10,10,1,3,1,2,2,2,2,2,3,1,1,2,3,1,1977,40,3,2,1,246,"FI",1,246,"FI",1,246,"FI",6,1,0,1,7,3,NA,NA,6,3,7,3,3,NA,NA,11,NA,2,NA,NA,NA,10
"19177",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",246050004,NA,246,"FI",375,2017,201711,201806,2462017,3,1,NA,7,NA,NA,NA,46,22.12,22.58,20180108,NA,NA,NA,141,"fi",1.34851285699235,0.367632443703086,0.834028356964137,"FI1","FI1B",NA,5,2,1,1,1,3,1,2,2,2,6,7,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,2,5,3,3,1,3,2,4,2,3,1,2,2,2,2,2,2,4,4,3,4,3,1,2,4,3,0,1,2,2,1,2,1,2,3,7,6,6,2,2,2,3,2,1,3,2,2,2,3,3,3,2,3,2,4,4,2,4,2,NA,24605,7,5,10,8,2,10,10,7,7,10,6,2,1,2,2,3,3,3,2,3,4,2,4,NA,3,1,1,0,0,1,7,3,5,4,2,10,6,8,8,9,2,9,1,2,1,1,3,2,2,3,3,1,3,3,4,2,1991,26,2,1,1,246,"FI",1,246,"FI",1,246,"FI",6,1,0,1,6,3,NA,NA,7,3,7,3,6,NA,NA,26,NA,1,NA,NA,NA,8
"19178",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",246050005,NA,246,"FI",375,2017,201711,201806,2462017,3,1,NA,7,NA,NA,NA,119,9.25,11.24,20171214,NA,NA,NA,141,"fi",0.376610968281218,0.367632443703086,0.834028356964137,"FI1","FI1B",NA,5,2,2,2,2,3,1,2,2,3,10,8,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,3,3,3,3,3,1,5,3,3,3,3,1,1,1,2,2,2,3,4,3,3,4,2,3,4,2,3,1,3,3,3,2,2,3,3,7,7,5,7,3,3,2,2,3,2,2,3,2,2,3,3,2,2,2,3,8,4,4,4,2,NA,24603,10,1,10,5,8,10,10,7,8,10,7,1,1,2,3,2,3,3,2,3,4,2,4,NA,1,1,1,1,1,1,8,1,1,1,1,10,1,7,7,6,2,5,5,1,1,1,3,2,3,2,2,1,1,3,3,2,1950,67,6,3,1,246,"FI",1,246,"FI",1,246,"FI",2,1,0,NA,NA,NA,7,3,1,1,1,1,4,4,2,44,NA,10,NA,NA,NA,8
"19179",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",246050006,NA,246,"FI",375,2017,201711,201806,2462017,3,1,NA,7,NA,NA,NA,289,15.13,20.02,20171202,NA,NA,NA,141,"fi",1.36337841416037,0.367632443703086,0.834028356964137,"FI1","FI1B",NA,5,2,1,1,1,2,1,4,2,1,8,10,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,5,3,3,3,5,3,1,1,2,1,2,1,3,3,2,1,2,4,4,2,1,2,1,4,2,1,1,2,1,2,2,2,3,10,10,1,1,2,3,2,4,4,2,3,3,2,2,2,3,2,2,3,2,6,2,2,3,2,NA,24602,4,3,10,3,1,8,10,1,8,9,6,1,1,1,4,4,4,4,1,4,4,0,7,NA,7,2,0,0,0,0,1,1,3,2,1,10,5,10,10,10,1,3,1,5,1,1,3,2,2,3,3,2,2,3,3,1,1983,34,2,2,1,246,"FI",1,246,"FI",1,246,"FI",6,1,0,2,7,3,7,3,5,3,6,3,1,1,2,12,NA,1,12,NA,NA,10
"19180",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",246050007,NA,246,"FI",375,2017,201711,201806,2462017,3,1,NA,7,NA,NA,NA,49,12.48,13.37,20180217,NA,NA,NA,141,"fi",0.376610968281218,0.367632443703086,0.834028356964137,"FI1","FI1B",NA,5,1,1,1,3,1,1,2,2,2,8,7,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,2,5,2,5,1,5,4,4,4,4,1,1,2,2,1,1,2,4,4,3,4,3,4,2,4,3,0,3,3,1,2,2,1,3,1,1,9,7,5,3,2,2,3,1,3,2,4,4,3,4,4,2,2,4,3,4,2,4,2,NA,24605,10,3,10,8,1,10,10,10,5,10,3,1,1,1,4,3,4,3,1,2,4,2,4,NA,7,1,0,0,0,0,5,5,2,2,1,10,1,10,10,10,6,3,1,1,1,3,4,3,1,2,3,1,2,3,3,2,1947,70,6,3,1,246,"FI",1,246,"FI",1,246,"FI",1,1,0,2,7,3,8,3,1,1,3,2,4,4,1,22,NA,7,23,NA,NA,10
"19181",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",246050008,NA,246,"FI",375,2017,201711,201806,2462017,3,1,NA,7,NA,NA,NA,37,0.34,1.11,20171217,NA,NA,NA,141,"fi",0.376610968281218,0.367632443703086,0.834028356964137,"FI1","FI1B",NA,5,1,1,1,1,2,3,4,3,3,7,10,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,2,5,3,3,1,5,4,1,1,1,2,2,1,2,2,2,4,4,4,4,4,1,4,1,2,2,1,3,2,2,3,3,3,3,7,1,3,1,1,4,1,3,4,1,3,3,3,3,3,3,3,3,3,3,5,4,3,4,1,NA,24602,5,1,10,3,1,10,10,6,6,10,7,1,1,1,4,4,4,3,1,4,4,0,8,NA,7,3,0,0,0,0,1,1,10,1,1,10,1,10,10,10,10,10,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1948,69,6,3,1,246,"FI",1,246,"FI",1,246,"FI",3,1,2,1,7,3,NA,NA,1,1,1,1,4,NA,1,12,NA,6,NA,NA,NA,3
"19182",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",246050009,NA,246,"FI",375,2017,201711,201806,2462017,3,1,NA,7,NA,NA,NA,58,11.21,12.19,20171230,NA,NA,NA,141,"fi",0.97240449604924,0.367632443703086,0.834028356964137,"FI1","FI1B",NA,5,1,1,1,1,2,1,3,2,2,8,10,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,5,1,2,2,3,3,2,2,2,1,2,1,2,2,2,3,3,4,3,3,4,3,1,2,2,1,3,1,2,1,2,3,3,9,6,4,3,2,2,2,1,3,2,2,2,3,3,1,3,2,2,2,2,7,4,2,4,1,NA,24602,8,2,10,7,6,10,10,9,10,10,10,1,1,1,3,2,4,1,1,4,4,2,7,NA,7,1,0,0,0,0,3,2,2,1,1,10,1,10,10,10,3,8,1,3,1,1,3,2,3,1,3,1,1,3,2,2,1972,45,4,2,1,246,"FI",1,246,"FI",1,246,"FI",6,1,0,1,7,3,NA,NA,7,3,7,3,1,NA,2,22,NA,1,NA,NA,NA,7
"19183",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",246050010,NA,246,"FI",375,2017,201711,201806,2462017,3,1,NA,7,NA,NA,NA,32,0.53,1.25,20180104,NA,NA,NA,141,"fi",1.20729026536997,0.367632443703086,0.834028356964137,"FI1","FI1B",NA,5,1,4,2,2,2,3,1,2,2,8,8,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,2,2,4,3,3,3,2,4,2,4,3,1,2,2,4,3,3,3,2,3,3,2,2,1,1,4,2,1,3,2,2,1,3,2,3,10,9,2,1,1,2,1,4,3,1,2,4,2,2,2,3,2,4,3,2,4,4,3,2,1,NA,24602,3,1,10,3,2,9,10,2,7,9,10,1,1,1,4,3,4,3,1,3,4,2,2,NA,2,1,1,1,1,1,8,1,4,6,1,10,9,4,9,5,7,7,4,8,1,2,2,2,3,2,3,2,1,3,1,1,1974,43,3,2,1,246,"FI",1,246,"FI",1,246,"FI",6,1,0,1,7,3,NA,NA,7,3,7,3,3,NA,NA,24,NA,1,NA,NA,NA,6
