"","study","wave","version","versn_s","doi_gesis","doi_wvsa","studytit","uniqid","intrvwr_id","cntry","cntry_AN","cntrycow","year","fw_start","fw_end","cntry_y","mode","mm_mixed_mode_EVS5","mm_mode_fu_EVS5","mm_matrix_group_EVS5","mm_fw_start_fu_EVS5","mm_fw_end_fu_EVS5","mm_year_fu_EVS5","ivlength","ivstart","ivstend","ivdate","mm_v277_fu_EVS5","mm_v278a_fu_r_EVS5","mm_v279a_fu_r_EVS5","lnge_num","lnge_iso","gwght","pwght","wght_eq1000","reg_nuts1","reg_nuts2","reg_iso","size_5c","respint","A001","A002","A003","A004","A005","A006","A008","A009","A170","A173","A027","A029","A030","A032","A034","A035","A038","A039","A040","A041","A042","A065","A066","A067","A068","A071","A072","A074","A078","A079","A080_01","A080_02","A124_02","A124_03","A124_06","A124_08","A124_09","A165","B008","C001","C001_01","C002","C002_01","D081","D026_03","D026_05","C038","C039","C041","D001_B","G007_18_B","G007_33_B","G007_34_B","G007_35_B","G007_36_B","D054","D059","D060","D061","D078","E001","E002","E003","E004","Y002","E012","E015","E018","E023","E025","E026","E027","E028","E033","E035","E036","E037","E039","E069_01","E069_02","E069_04","E069_05","E069_06","E069_07","E069_08","E069_18A","E069_18","E069_11","E069_12","E069_13","E069_14","E069_17","E069_20","E111_01","E114","E115","E116","E117","E179_WVS7","E181_EVS5","E224","E225","E226","E227","E228","E229","E233","E233A","E233B","E235","E236","E263","E264","E265_01","E265_02","E265_03","E265_04","E265_05","E265_06","E265_07","E265_08","F025","F028","F028B_WVS7","F066_EVS5","F034","F050","F051","F053","F054","F063","F114A","F115","F116","F117","F118","F119","F120","F121","F122","F123","F132","E290","F144_02","G005","G006","G052","G062","G063","G255","G256","G257","H009","H010","H011","X001","X002","X003","X003R","X003R2","G027A","X002_02A","X002_02B","V002","V002A","V002A_01","V001","V001A","V001A_01","X007","x026_01","X011","X013","X025A_01","X025R","W002A_01","W002R","V004AM_01","V004RM","V004AF_01","V004RF","X028","W003","X052","X035_EVS5","X036E_WVS7","V097EF","W005_EVS5","W006E_WVS7","X047_WVS7","X047E_EVS5"
"29745",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",380050001,503164,380,"IT",325,2018,201809,201901,3802018,1,5,NA,NA,NA,NA,NA,71,9.16,10.27,20181022,NA,NA,NA,207,"it",0.694942989513833,2.11849960474308,0.43917435221783,"ITF","ITF5",NA,1,1,1,2,2,3,1,1,2,3,7,7,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,5,1,3,1,1,1,1,2,2,3,2,2,2,3,4,2,3,4,3,2,4,3,1,2,2,4,2,3,2,3,4,6,6,9,5,1,2,2,2,2,3,3,2,2,3,3,2,1,2,1,5,4,2,4,1,NA,38005,7,8,8,8,4,8,8,8,7,9,9,1,1,3,4,2,1,3,2,1,4,1,2,NA,1,1,1,1,1,1,10,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,3,1,2,2,2,1,1,1,3,1,1938,80,6,3,1,380,"IT",1,380,"IT",1,380,"IT",1,1,3,2,7,3,2,1,0,1,0,1,4,4,NA,22,NA,10,61,NA,NA,3
"29746",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",380050002,503164,380,"IT",325,2018,201809,201901,3802018,1,5,NA,NA,NA,NA,NA,49,8.49,9.38,20181124,NA,NA,NA,207,"it",0.624327917046211,2.11849960474308,0.43917435221783,"ITF","ITF5",NA,1,1,1,3,2,3,2,2,3,2,4,8,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,1,0,2,1,2,4,2,4,1,2,3,1,2,2,1,1,3,2,2,2,2,4,3,3,4,3,4,4,2,3,0,3,1,2,1,2,1,3,3,6,6,8,2,2,2,2,3,1,2,3,1,1,3,3,3,1,1,1,1,4,1,4,1,NA,38003,8,2,10,10,1,9,10,9,7,10,5,1,1,3,3,1,1,3,3,1,4,1,4,NA,6,1,1,0,0,0,8,1,1,1,1,8,3,9,9,8,6,2,2,1,1,2,5,2,2,3,3,3,2,4,4,1,1958,60,5,3,1,380,"IT",1,380,"IT",1,380,"IT",4,1,3,1,7,3,NA,NA,0,1,1,1,1,NA,3,13,NA,10,NA,NA,NA,7
"29747",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",380050003,503164,380,"IT",325,2018,201809,201901,3802018,1,5,NA,NA,NA,NA,NA,52,18.19,19.11,20181207,NA,NA,NA,207,"it",1.75116386895324,2.11849960474308,0.43917435221783,"ITF","ITF5",NA,1,1,1,1,1,2,1,2,2,2,5,9,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,2,1,1,1,1,1,4,4,1,1,1,1,1,1,3,3,3,3,1,1,4,1,3,1,2,2,3,2,1,1,1,2,2,3,2,3,4,2,3,1,2,3,3,4,4,2,2,3,3,3,2,4,2,2,3,3,6,4,4,4,1,NA,38009,8,2,10,10,3,9,9,9,4,9,7,1,1,1,4,4,1,4,2,1,4,1,4,NA,4,1,1,0,1,1,9,1,1,1,1,6,5,6,6,10,1,6,1,1,1,1,1,2,2,1,1,1,1,4,4,1,1965,53,4,3,1,380,"IT",1,380,"IT",1,380,"IT",1,1,2,4,2,1,3,2,1,1,0,1,1,5,2,81,NA,9,NA,NA,NA,4
"29748",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",380050004,503164,380,"IT",325,2018,201809,201901,3802018,1,5,NA,NA,NA,NA,NA,56,15.39,16.35,20181110,NA,NA,NA,207,"it",0.822611856132945,2.11849960474308,0.43917435221783,"ITF","ITF5",NA,1,1,1,2,2,4,1,4,3,2,5,8,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,2,1,1,2,1,1,5,4,4,2,4,2,1,2,3,3,3,3,2,3,3,2,2,1,2,1,2,2,0,1,1,4,1,2,1,1,7,2,5,8,3,2,2,3,2,2,3,3,2,2,3,4,2,2,3,2,4,4,2,3,1,NA,38009,10,2,10,10,8,9,9,10,3,10,5,2,2,2,4,2,2,2,2,1,4,0,8,NA,7,2,1,1,1,1,3,1,2,1,1,6,2,6,6,8,3,4,2,5,1,3,1,3,3,3,3,1,1,2,2,1,1982,36,3,2,1,380,"IT",1,380,"IT",1,380,"IT",6,2,0,3,3,2,NA,NA,2,1,1,1,7,NA,2,43,NA,9,NA,NA,NA,4
"29749",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",380050005,503164,380,"IT",325,2018,201809,201901,3802018,1,5,NA,NA,NA,NA,NA,41,16.31,17.12,20181212,NA,NA,NA,207,"it",1.34186207772203,2.11849960474308,0.43917435221783,"ITF","ITF5",NA,1,1,2,1,2,1,1,4,2,1,7,8,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,2,1,2,5,2,5,2,3,3,3,1,4,2,4,3,4,3,3,2,4,4,3,4,3,1,2,4,3,0,3,1,1,2,2,2,2,NA,9,5,5,7,4,2,3,3,2,3,3,4,4,3,4,3,2,3,4,1,4,3,4,1,NA,38001,6,1,10,6,1,10,10,7,7,10,5,NA,1,3,3,2,1,1,2,2,4,0,8,NA,7,2,0,0,0,0,1,1,1,1,1,10,1,10,10,10,10,10,1,1,1,1,4,2,2,3,3,2,3,2,3,1,2000,18,1,1,1,380,"IT",1,380,"IT",1,380,"IT",6,2,0,5,2,1,NA,NA,3,2,7,3,6,NA,NA,NA,NA,1,NA,NA,NA,10
"29750",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",380050006,503164,380,"IT",325,2018,201809,201901,3802018,1,5,NA,NA,NA,NA,NA,69,16.33,17.42,20181207,NA,NA,NA,207,"it",1.18705922062913,2.11849960474308,0.43917435221783,"ITF","ITF5",NA,1,1,1,2,2,4,1,1,2,2,8,6,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,3,3,1,1,4,2,1,1,2,2,1,2,2,3,2,3,1,3,3,2,4,4,2,1,3,1,1,2,1,4,2,3,2,3,8,8,4,5,4,2,1,2,2,2,2,3,2,2,2,3,2,1,2,1,5,4,4,4,1,NA,38014,8,5,10,9,8,7,9,6,7,10,5,1,1,1,4,1,2,3,2,2,4,1,2,NA,1,1,1,1,1,1,10,1,1,1,1,5,1,1,5,5,1,1,1,4,1,1,3,2,2,1,1,1,1,3,3,2,1956,62,5,3,1,380,"IT",1,380,"IT",1,380,"IT",1,1,2,3,2,1,1,1,0,1,1,1,5,4,1,92,NA,9,72,NA,NA,4
"29751",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",380050007,503164,380,"IT",325,2018,201809,201901,3802018,1,5,NA,NA,NA,NA,NA,43,17.05,17.48,20181110,NA,NA,NA,207,"it",0.824175601518538,2.11849960474308,0.43917435221783,"ITF","ITF5",NA,1,1,1,2,2,2,2,2,2,2,8,8,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,1,0,2,1,2,4,1,2,3,2,2,2,3,4,1,2,2,3,2,2,3,4,4,2,4,1,3,2,4,3,1,1,1,3,1,3,2,3,4,5,2,6,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,2,5,4,3,4,1,NA,38009,7,4,10,7,6,10,10,9,6,10,5,1,1,1,4,2,2,2,2,2,4,1,4,NA,1,1,1,1,1,1,8,1,3,1,1,10,3,6,7,6,6,3,1,1,1,2,3,2,3,1,1,1,2,4,3,2,1983,35,3,2,1,380,"IT",1,380,"IT",1,380,"IT",1,1,1,3,7,3,7,3,3,2,3,2,2,1,1,23,NA,1,12,NA,NA,8
"29752",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",380050008,503164,380,"IT",325,2018,201809,201901,3802018,1,5,NA,NA,NA,NA,NA,45,16.06,16.51,20181117,NA,NA,NA,207,"it",1.66439389954913,2.11849960474308,0.43917435221783,"ITF","ITF5",NA,1,1,1,2,3,4,1,2,1,2,10,7,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,3,2,3,1,2,3,1,3,2,3,4,3,2,0,3,1,4,2,3,2,3,4,8,3,8,2,1,2,1,2,1,2,2,3,3,3,3,2,2,2,3,5,4,2,2,1,NA,38005,5,3,10,10,2,9,10,10,7,10,5,1,1,2,4,3,1,2,2,2,4,1,3,NA,1,1,1,1,1,1,10,3,1,2,1,7,1,1,1,1,1,1,1,8,1,1,2,2,3,1,1,1,1,3,2,2,1975,43,3,2,1,380,"IT",1,380,"IT",1,380,"IT",1,1,2,4,2,1,2,1,0,1,0,1,1,2,2,53,NA,8,96,NA,NA,5
"29753",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",380050009,503164,380,"IT",325,2018,201809,201901,3802018,1,5,NA,NA,NA,NA,NA,56,9.48,10.44,20181105,NA,NA,NA,207,"it",1.92640766993121,2.11849960474308,0.43917435221783,"ITF","ITF5",NA,1,1,1,1,2,4,1,2,2,1,2,5,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,1,1,4,2,2,2,3,4,1,4,2,3,3,3,2,4,4,3,4,3,2,3,1,1,1,2,1,4,2,3,2,3,5,4,4,4,2,1,2,3,4,2,4,3,3,3,4,4,3,3,3,3,6,3,2,3,1,NA,38009,10,2,10,10,3,5,10,7,3,10,5,1,1,1,4,2,2,2,3,3,4,1,4,NA,6,1,1,1,0,1,10,1,1,1,1,3,1,1,1,1,1,1,1,7,1,2,3,3,3,1,2,2,2,4,4,2,1990,28,2,1,1,380,"IT",1,380,"IT",1,380,"IT",6,2,0,4,2,1,NA,NA,2,1,3,2,7,NA,NA,NA,NA,8,NA,NA,NA,4
"29754",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",380050010,503164,380,"IT",325,2018,201809,201901,3802018,1,5,NA,NA,NA,NA,NA,54,17.42,18.36,20181114,NA,NA,NA,207,"it",1.18705922062913,2.11849960474308,0.43917435221783,"ITF","ITF5",NA,1,2,1,1,1,3,1,2,2,3,6,7,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,1,1,3,3,1,2,3,3,1,1,1,2,2,2,1,2,3,2,3,3,4,2,3,2,1,2,1,3,2,3,2,3,6,3,5,9,4,2,2,2,4,1,3,3,3,3,3,4,3,1,2,3,3,3,2,3,1,NA,38009,9,3,10,10,4,7,10,9,8,10,6,1,1,2,3,2,2,3,2,1,4,1,3,NA,1,1,1,1,0,1,10,1,1,1,1,5,1,3,6,3,4,1,1,6,1,1,1,2,2,2,2,2,2,3,2,2,1961,57,5,3,1,380,"IT",1,380,"IT",1,380,"IT",1,1,3,5,2,1,2,1,0,1,0,1,5,3,NA,NA,NA,9,74,NA,NA,4
