"","study","wave","version","versn_s","doi_gesis","doi_wvsa","studytit","uniqid","intrvwr_id","cntry","cntry_AN","cntrycow","year","fw_start","fw_end","cntry_y","mode","mm_mixed_mode_EVS5","mm_mode_fu_EVS5","mm_matrix_group_EVS5","mm_fw_start_fu_EVS5","mm_fw_end_fu_EVS5","mm_year_fu_EVS5","ivlength","ivstart","ivstend","ivdate","mm_v277_fu_EVS5","mm_v278a_fu_r_EVS5","mm_v279a_fu_r_EVS5","lnge_num","lnge_iso","gwght","pwght","wght_eq1000","reg_nuts1","reg_nuts2","reg_iso","size_5c","respint","A001","A002","A003","A004","A005","A006","A008","A009","A170","A173","A027","A029","A030","A032","A034","A035","A038","A039","A040","A041","A042","A065","A066","A067","A068","A071","A072","A074","A078","A079","A080_01","A080_02","A124_02","A124_03","A124_06","A124_08","A124_09","A165","B008","C001","C001_01","C002","C002_01","D081","D026_03","D026_05","C038","C039","C041","D001_B","G007_18_B","G007_33_B","G007_34_B","G007_35_B","G007_36_B","D054","D059","D060","D061","D078","E001","E002","E003","E004","Y002","E012","E015","E018","E023","E025","E026","E027","E028","E033","E035","E036","E037","E039","E069_01","E069_02","E069_04","E069_05","E069_06","E069_07","E069_08","E069_18A","E069_18","E069_11","E069_12","E069_13","E069_14","E069_17","E069_20","E111_01","E114","E115","E116","E117","E179_WVS7","E181_EVS5","E224","E225","E226","E227","E228","E229","E233","E233A","E233B","E235","E236","E263","E264","E265_01","E265_02","E265_03","E265_04","E265_05","E265_06","E265_07","E265_08","F025","F028","F028B_WVS7","F066_EVS5","F034","F050","F051","F053","F054","F063","F114A","F115","F116","F117","F118","F119","F120","F121","F122","F123","F132","E290","F144_02","G005","G006","G052","G062","G063","G255","G256","G257","H009","H010","H011","X001","X002","X003","X003R","X003R2","G027A","X002_02A","X002_02B","V002","V002A","V002A_01","V001","V001A","V001A_01","X007","x026_01","X011","X013","X025A_01","X025R","W002A_01","W002R","V004AM_01","V004RM","V004AF_01","V004RF","X028","W003","X052","X035_EVS5","X036E_WVS7","V097EF","W005_EVS5","W006E_WVS7","X047_WVS7","X047E_EVS5"
"50554",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",752050001,39,752,"SE",380,2017,201709,201806,7522017,1,5,NA,NA,NA,NA,NA,69,10.51,12,20171204,NA,NA,NA,435,"sv",1.21682498462789,0.669903182579564,0.837520938023451,"SE1","SE11",NA,5,1,1,1,1,2,2,3,1,1,9,9,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,2,5,2,5,3,5,5,4,4,4,1,1,1,1,1,1,4,4,4,4,4,1,3,4,2,3,1,3,3,1,1,2,2,3,7,10,1,3,1,1,1,1,3,1,1,1,2,2,2,2,1,2,1,2,8,4,4,4,1,NA,75205,10,1,10,10,1,10,10,1,1,10,10,1,1,1,4,4,4,1,1,4,4,2,6,NA,7,2,0,0,0,0,3,1,5,1,1,10,5,10,10,8,1,10,1,1,1,1,5,2,2,1,2,1,1,2,4,1,1964,53,4,3,1,752,"SE",1,752,"SE",1,752,"SE",1,1,2,4,6,3,3,2,6,3,6,3,7,3,2,12,NA,2,33,NA,NA,10
"50555",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",752050002,39,752,"SE",380,2017,201709,201806,7522017,1,5,NA,NA,NA,NA,NA,72,17.27,18.39,20171212,NA,NA,NA,435,"sv",1.20400816908158,0.669903182579564,0.837520938023451,"SE1","SE11",NA,5,1,1,1,1,2,1,3,1,3,8,9,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,5,3,3,1,4,2,2,2,4,1,2,1,1,1,1,2,4,4,4,4,1,2,4,1,2,1,1,3,2,1,1,1,3,6,10,5,4,3,3,2,3,2,2,3,2,3,3,2,4,3,2,1,1,8,4,1,4,1,NA,75205,9,1,10,1,1,10,10,1,1,10,9,1,1,1,4,2,4,2,1,4,4,2,4,NA,6,2,0,1,0,0,1,1,2,1,5,10,1,10,10,10,5,10,3,1,1,1,5,1,2,1,1,1,1,4,4,2,1977,40,3,2,1,752,"SE",1,752,"SE",1,752,"SE",1,1,2,4,7,3,6,3,4,2,4,2,1,1,1,23,NA,2,31,NA,NA,10
"50556",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",752050003,39,752,"SE",380,2017,201709,201806,7522017,1,5,NA,NA,NA,NA,NA,82,9.26,10.48,20171109,NA,NA,NA,435,"sv",0.847538302243501,0.669903182579564,0.837520938023451,"SE1","SE11",NA,5,1,1,2,2,1,1,1,1,1,9,10,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,2,2,5,2,5,3,2,2,1,1,1,1,1,1,1,1,1,2,4,4,2,4,1,4,4,1,2,1,1,1,1,3,2,2,3,6,10,3,1,3,2,3,3,3,2,2,3,2,2,3,2,2,3,2,3,7,2,3,4,1,NA,75205,5,2,9,6,3,10,10,1,7,10,6,1,1,1,4,2,4,3,1,4,4,2,7,NA,2,1,1,1,1,0,8,1,2,1,1,10,2,3,5,3,1,7,7,1,1,2,4,2,2,1,2,1,2,3,4,1,1958,59,5,3,1,752,"SE",0,276,"DE",1,752,"SE",1,1,3,NA,7,3,7,3,3,2,7,3,1,1,2,26,NA,2,24,NA,NA,10
"50557",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",752050004,39,752,"SE",380,2017,201709,201806,7522017,1,5,NA,NA,NA,NA,NA,56,15.54,16.5,20180207,NA,NA,NA,435,"sv",1.46665595753491,0.669903182579564,0.837520938023451,"SE1","SE11",NA,5,1,2,1,1,2,2,3,2,2,7,8,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,4,2,4,3,4,4,2,2,3,2,3,2,3,3,3,2,3,3,4,3,1,3,1,4,2,0,1,3,2,2,2,2,3,6,5,3,3,1,2,2,2,3,1,1,2,2,2,2,2,2,2,1,2,10,4,3,3,1,NA,75202,10,1,10,10,1,10,10,1,7,10,10,1,1,1,4,2,4,2,2,4,3,0,8,NA,7,2,0,1,0,0,1,5,8,1,1,10,1,10,10,3,3,8,1,2,1,1,2,2,2,1,2,1,2,2,3,1,1987,30,2,2,1,752,"SE",1,752,"SE",1,752,"SE",6,1,0,1,7,3,NA,NA,5,3,6,3,1,NA,2,24,NA,2,NA,NA,NA,9
"50558",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",752050005,38,752,"SE",380,2017,201709,201806,7522017,1,5,NA,NA,NA,NA,NA,122,14.29,16.31,20171114,NA,NA,NA,435,"sv",0.42205362087609,0.669903182579564,0.837520938023451,"SE1","SE11",NA,5,1,2,1,2,1,1,4,2,3,10,10,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,5,2,4,3,5,3,4,2,2,1,2,1,2,3,1,2,4,3,4,4,1,2,1,4,2,1,1,3,2,1,1,1,2,3,8,4,4,1,3,2,2,3,3,2,3,2,2,2,3,3,2,3,3,2,4,2,3,1,NA,75207,10,1,10,5,1,10,10,2,8,10,8,1,1,1,4,4,4,1,1,3,4,0,8,NA,7,3,0,0,0,0,1,1,1,1,1,10,5,10,10,9,8,9,1,1,1,2,4,2,2,2,3,2,1,3,2,1,1946,71,6,3,1,752,"SE",1,752,"SE",1,752,"SE",1,1,4,2,7,3,8,3,1,1,1,1,4,2,2,26,NA,4,23,NA,NA,5
"50559",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",752050006,38,752,"SE",380,2017,201709,201806,7522017,1,5,NA,NA,NA,NA,NA,70,17.22,18.32,20171103,NA,NA,NA,435,"sv",1.29389569627614,0.669903182579564,0.837520938023451,"SE1","SE11",NA,5,1,1,1,1,2,2,3,1,1,8,9,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,2,5,2,4,1,5,1,3,3,4,1,1,1,1,1,1,2,4,4,4,4,1,3,1,4,2,1,1,2,2,1,2,2,3,7,8,6,4,4,3,3,3,1,2,2,2,3,3,2,2,1,3,2,3,7,4,3,4,1,NA,75205,7,1,10,7,1,10,10,1,6,10,8,1,1,1,4,3,4,1,1,4,4,2,8,NA,7,NA,0,1,0,0,1,1,5,1,4,10,1,10,5,5,3,10,1,1,1,1,3,3,3,1,2,1,1,2,3,1,1982,35,3,2,1,752,"SE",1,752,"SE",1,752,"SE",6,1,2,4,7,3,6,3,7,3,7,3,1,1,1,NA,NA,2,32,NA,NA,10
"50560",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",752050007,38,752,"SE",380,2017,201709,201806,7522017,1,5,NA,NA,NA,NA,NA,52,17.05,17.57,20171107,NA,NA,NA,435,"sv",1.21682498462789,0.669903182579564,0.837520938023451,"SE1","SE11",NA,5,1,1,1,2,2,2,3,2,3,7,7,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,2,5,2,5,1,4,2,4,4,4,1,1,1,2,2,2,2,4,4,4,4,3,1,1,4,2,1,2,2,2,1,2,2,2,7,6,7,8,3,2,2,2,3,3,3,3,3,3,3,3,3,2,2,3,6,4,3,3,1,NA,75205,7,1,10,8,2,9,10,3,3,10,8,1,1,1,4,3,4,2,2,4,3,0,8,NA,7,2,0,0,0,0,2,2,1,1,1,10,2,10,9,5,3,6,2,1,1,2,5,2,3,1,2,2,2,3,4,1,1969,48,4,2,1,752,"SE",1,752,"SE",1,752,"SE",6,1,0,1,8,3,NA,NA,7,3,8,3,1,NA,1,23,NA,1,NA,NA,NA,8
"50561",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",752050008,38,752,"SE",380,2017,201709,201806,7522017,1,5,NA,NA,NA,NA,NA,86,18.27,19.53,20171108,NA,NA,NA,435,"sv",1.29389569627614,0.669903182579564,0.837520938023451,"SE1","SE11",NA,5,2,1,1,1,3,2,3,3,2,5,8,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,2,5,3,3,1,4,4,3,3,4,1,2,1,2,2,2,2,4,4,4,4,1,3,2,4,3,0,1,3,3,1,2,2,2,6,7,4,3,2,2,2,2,3,2,3,3,3,3,3,3,2,2,1,3,2,4,3,4,1,NA,75204,7,5,9,4,2,7,7,3,1,8,7,1,1,1,3,2,4,2,2,4,4,0,8,NA,7,2,0,0,0,0,3,1,5,1,2,10,1,9,9,8,4,7,2,5,1,1,2,2,2,1,2,2,1,3,4,1,1980,37,3,2,1,752,"SE",1,752,"SE",1,752,"SE",1,1,2,4,5,3,6,3,3,2,2,1,1,1,2,31,NA,5,13,NA,NA,10
"50562",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",752050009,38,752,"SE",380,2017,201709,201806,7522017,1,5,NA,NA,NA,NA,NA,69,13.53,15.02,20171208,NA,NA,NA,435,"sv",1.20400816908158,0.669903182579564,0.837520938023451,"SE1","SE11",NA,5,1,1,2,3,2,1,3,1,2,9,8,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1,2,5,2,5,1,5,4,3,2,5,1,2,1,3,2,2,3,4,4,4,4,1,2,4,1,2,0,3,2,2,2,2,2,3,7,7,3,5,3,3,3,3,2,2,2,2,2,2,3,3,3,1,1,2,7,4,4,4,1,NA,75202,6,3,10,8,2,8,10,3,5,10,8,1,1,1,3,3,3,2,1,3,4,0,8,NA,6,2,1,0,0,0,5,1,1,1,1,10,2,5,10,8,1,9,1,1,1,1,3,2,3,2,3,1,1,4,4,2,1978,39,3,2,1,752,"SE",1,752,"SE",1,752,"SE",6,1,1,3,6,3,7,3,3,2,3,2,1,1,2,24,NA,1,26,NA,NA,10
"50563",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",752050010,38,752,"SE",380,2017,201709,201806,7522017,1,5,NA,NA,NA,NA,NA,131,12.18,14.29,20180205,NA,NA,NA,435,"sv",1.20400816908158,0.669903182579564,0.837520938023451,"SE1","SE11",NA,5,1,1,1,1,2,1,4,1,1,8,9,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,2,5,3,3,1,5,4,3,2,2,1,2,1,2,1,1,2,4,4,3,4,1,3,4,1,2,NA,1,2,2,1,1,2,2,7,10,1,5,1,1,3,3,2,2,2,2,3,3,2,3,NA,2,2,1,7,3,4,4,1,NA,75202,5,1,10,4,1,10,10,1,1,10,8,1,1,1,4,3,3,1,1,4,4,2,6,NA,6,2,0,1,0,1,6,2,5,1,1,10,3,8,9,2,3,5,1,10,1,2,2,2,2,2,3,2,3,3,4,2,1981,36,3,2,1,752,"SE",1,752,"SE",1,752,"SE",6,1,0,2,7,3,7,3,3,2,3,2,1,1,2,52,NA,3,25,NA,NA,10
