"","study","wave","version","versn_s","doi_gesis","doi_wvsa","studytit","uniqid","intrvwr_id","cntry","cntry_AN","cntrycow","year","fw_start","fw_end","cntry_y","mode","mm_mixed_mode_EVS5","mm_mode_fu_EVS5","mm_matrix_group_EVS5","mm_fw_start_fu_EVS5","mm_fw_end_fu_EVS5","mm_year_fu_EVS5","ivlength","ivstart","ivstend","ivdate","mm_v277_fu_EVS5","mm_v278a_fu_r_EVS5","mm_v279a_fu_r_EVS5","lnge_num","lnge_iso","gwght","pwght","wght_eq1000","reg_nuts1","reg_nuts2","reg_iso","size_5c","respint","A001","A002","A003","A004","A005","A006","A008","A009","A170","A173","A027","A029","A030","A032","A034","A035","A038","A039","A040","A041","A042","A065","A066","A067","A068","A071","A072","A074","A078","A079","A080_01","A080_02","A124_02","A124_03","A124_06","A124_08","A124_09","A165","B008","C001","C001_01","C002","C002_01","D081","D026_03","D026_05","C038","C039","C041","D001_B","G007_18_B","G007_33_B","G007_34_B","G007_35_B","G007_36_B","D054","D059","D060","D061","D078","E001","E002","E003","E004","Y002","E012","E015","E018","E023","E025","E026","E027","E028","E033","E035","E036","E037","E039","E069_01","E069_02","E069_04","E069_05","E069_06","E069_07","E069_08","E069_18A","E069_18","E069_11","E069_12","E069_13","E069_14","E069_17","E069_20","E111_01","E114","E115","E116","E117","E179_WVS7","E181_EVS5","E224","E225","E226","E227","E228","E229","E233","E233A","E233B","E235","E236","E263","E264","E265_01","E265_02","E265_03","E265_04","E265_05","E265_06","E265_07","E265_08","F025","F028","F028B_WVS7","F066_EVS5","F034","F050","F051","F053","F054","F063","F114A","F115","F116","F117","F118","F119","F120","F121","F122","F123","F132","E290","F144_02","G005","G006","G052","G062","G063","G255","G256","G257","H009","H010","H011","X001","X002","X003","X003R","X003R2","G027A","X002_02A","X002_02B","V002","V002A","V002A_01","V001","V001A","V001A_01","X007","x026_01","X011","X013","X025A_01","X025R","W002A_01","W002R","V004AM_01","V004RM","V004AF_01","V004RF","X028","W003","X052","X035_EVS5","X036E_WVS7","V097EF","W005_EVS5","W006E_WVS7","X047_WVS7","X047E_EVS5"
"51748",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050001,4331,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,106,10.09,11.55,20170926,NA,NA,NA,158,"de",1.14477092755635,0.217695778197858,0.315059861373661,"CH0","CH03",NA,4,1,1,2,1,3,3,3,2,3,6,5,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,2,4,1,1,2,2,5,2,2,3,1,3,2,4,3,4,NA,3,4,1,4,2,3,2,1,2,1,2,1,3,3,3,3,3,7,7,7,8,3,4,3,4,3,3,3,2,4,4,3,4,3,3,2,3,5,NA,NA,4,1,NA,NA,8,1,10,10,1,8,10,1,3,10,8,3,3,1,NA,NA,4,4,4,1,4,0,8,NA,7,2,0,NA,NA,NA,1,1,10,1,1,10,10,10,10,10,6,10,1,10,1,1,1,4,2,1,3,1,1,4,2,1,1966,51,4,3,1,756,"CH",0,276,"DE",1,756,"CH",1,1,0,2,2,1,3,2,2,1,3,2,7,7,2,83,NA,6,91,NA,NA,1
"51749",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050002,4380,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,74,16.54,18.08,20171018,NA,NA,NA,158,"de",1.03221139129565,0.217695778197858,0.315059861373661,"CH0","CH04",NA,1,1,1,2,2,2,1,NA,1,1,10,8,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,2,4,3,3,3,4,3,3,2,2,1,1,1,2,2,2,2,4,3,3,4,4,NA,4,1,2,1,3,3,2,1,1,1,3,4,7,5,4,3,4,3,2,3,2,3,3,3,3,2,3,2,2,3,3,8,4,2,4,1,NA,75603,5,1,10,8,1,10,10,7,1,10,10,2,2,1,4,4,4,1,1,3,4,2,8,NA,5,2,1,1,0,0,5,1,5,1,1,10,8,10,10,8,6,8,1,1,1,2,4,1,1,2,1,1,2,3,3,2,1959,58,5,3,1,756,"CH",1,756,"CH",1,756,"CH",6,1,0,1,3,2,NA,NA,3,2,3,2,3,NA,NA,14,NA,4,NA,NA,NA,6
"51750",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050003,1054,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,128,15.46,17.54,20171110,NA,NA,NA,144,"fr",1.08835702535487,0.217695778197858,0.315059861373661,"CH0","CH01",NA,2,2,1,1,2,1,1,1,1,2,9,8,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2,5,1,2,1,4,2,4,1,4,1,2,1,2,2,2,3,3,3,3,4,3,4,3,4,2,1,1,1,1,1,1,2,3,6,5,5,1,1,2,2,3,2,2,2,2,2,2,2,2,2,1,3,2,8,3,2,4,1,NA,75602,8,3,8,7,4,8,10,3,5,10,7,1,1,1,4,2,4,2,1,2,4,1,2,NA,2,1,1,1,NA,1,9,1,1,1,1,9,1,3,5,5,5,1,1,1,1,2,4,2,2,2,2,1,2,2,2,2,1946,71,6,3,1,756,"CH",1,756,"CH",1,756,"CH",1,1,4,2,3,2,5,3,1,1,1,1,4,4,1,23,NA,9,33,NA,NA,7
"51751",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050004,1015,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,36,9.03,9.39,20171114,NA,NA,NA,158,"de",1.13423155045302,0.217695778197858,0.315059861373661,"CH0","CH04",NA,2,1,1,2,2,3,2,3,2,3,8,8,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,2,4,2,4,2,4,3,2,2,3,1,2,2,2,2,2,2,3,3,3,3,3,1,3,2,2,1,2,2,2,1,2,1,3,3,6,6,4,4,3,3,3,2,NA,NA,NA,3,3,NA,3,3,2,3,2,7,NA,4,4,2,NA,75603,9,1,8,8,1,8,10,8,6,10,8,1,1,2,NA,NA,3,2,NA,2,4,1,3,NA,2,NA,1,1,0,1,8,1,2,1,1,10,7,10,10,10,10,10,1,1,1,1,3,1,1,2,2,1,4,4,4,2,1970,47,4,2,1,756,"CH",1,756,"CH",1,756,"CH",1,1,2,4,3,2,3,2,3,2,3,2,2,1,1,22,NA,3,74,NA,NA,8
"51752",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050005,1054,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,71,14.23,15.34,20170922,NA,NA,NA,144,"fr",0.915845115931396,0.217695778197858,0.315059861373661,"CH0","CH01",NA,3,1,1,1,2,2,1,3,2,2,8,6,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,2,4,1,4,3,1,4,1,1,2,1,3,2,2,1,3,4,4,4,3,4,3,1,1,1,3,1,3,2,NA,1,3,NA,1,5,5,1,2,1,3,2,1,2,2,2,2,NA,NA,2,1,1,NA,5,NA,2,NA,1,NA,NA,7,6,10,7,6,8,10,8,6,8,5,4,4,NA,NA,1,NA,1,NA,NA,NA,1,8,NA,6,1,1,1,NA,1,5,5,4,1,1,10,2,5,5,5,6,4,1,1,0,NA,4,1,1,1,1,1,2,4,3,2,1998,19,1,1,2,620,"PT",0,620,"PT",0,620,"PT",6,2,0,2,2,1,NA,NA,2,1,NA,NA,1,NA,2,51,NA,7,NA,NA,NA,1
"51753",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050006,5121,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,39,7.33,8.12,20171013,NA,NA,NA,144,"fr",1.1295788224087,0.217695778197858,0.315059861373661,"CH0","CH01",NA,1,1,1,1,2,2,2,2,1,1,8,6,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,2,4,3,3,2,3,3,2,2,3,1,2,2,2,2,2,2,3,3,3,3,1,4,1,3,1,1,3,1,3,1,3,2,3,8,7,4,4,4,1,2,2,2,2,2,2,3,3,2,2,3,3,2,2,6,3,3,3,1,NA,75601,5,4,7,6,4,7,8,3,5,8,6,2,2,1,4,2,4,2,1,3,4,2,3,NA,2,3,1,0,0,0,7,3,1,3,1,4,1,2,2,1,1,1,2,1,1,1,3,2,2,1,2,2,3,3,4,1,1957,60,5,3,1,756,"CH",1,756,"CH",1,756,"CH",1,1,2,2,3,2,2,1,1,1,3,2,3,3,NA,33,NA,5,52,NA,NA,5
"51754",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050007,3048,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,44,18.06,18.5,20171025,NA,NA,NA,158,"de",0.984340151259253,0.217695778197858,0.315059861373661,"CH0","CH05",NA,3,1,2,1,1,2,2,3,2,1,9,6,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,2,5,2,5,5,3,1,3,2,2,2,3,2,2,4,4,4,4,4,3,NA,3,NA,NA,NA,3,3,1,2,2,2,3,NA,3,5,6,2,4,NA,1,NA,3,NA,1,1,1,1,3,3,1,1,3,7,2,4,4,1,NA,75603,2,1,10,9,1,10,10,6,8,9,9,4,4,1,4,NA,4,4,1,4,4,0,8,NA,7,2,0,0,0,0,1,3,4,1,2,8,6,6,7,3,3,5,1,2,0,NA,4,1,4,3,3,3,4,4,4,1,1986,31,2,2,2,34,"034",0,34,"034",0,34,"034",6,1,0,1,7,3,NA,NA,2,1,7,3,1,NA,1,22,NA,1,NA,NA,NA,6
"51755",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050008,4380,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,63,13.25,14.28,20171002,NA,NA,NA,158,"de",0.977955785284373,0.217695778197858,0.315059861373661,"CH0","CH05",NA,2,1,3,1,1,3,3,4,2,2,8,5,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,NA,2,4,1,2,5,2,4,1,2,4,1,1,1,3,NA,3,2,3,4,2,4,3,4,1,2,2,0,3,1,2,1,2,3,3,5,3,4,4,5,3,2,3,NA,2,2,2,3,3,2,3,2,3,2,2,8,4,3,4,1,NA,75604,10,1,10,9,1,10,10,8,1,7,7,2,2,1,4,3,4,2,1,NA,4,1,6,NA,4,2,1,NA,0,0,5,1,1,1,1,5,5,3,5,5,5,1,1,1,1,2,3,2,2,1,1,1,3,3,3,2,1944,73,6,3,1,756,"CH",1,756,"CH",1,756,"CH",5,1,2,2,1,1,NA,NA,1,1,2,1,4,NA,2,52,NA,6,NA,NA,NA,NA
"51756",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050009,4501,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,64,9,10.04,20171003,NA,NA,NA,144,"fr",0.770885832145185,0.217695778197858,0.315059861373661,"CH0","CH01",NA,4,2,1,1,1,1,1,1,2,2,9,8,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,2,5,3,3,1,5,1,NA,1,4,1,1,1,2,1,1,3,4,4,NA,4,4,3,3,4,2,0,1,2,1,1,NA,1,1,NA,8,6,5,5,1,2,3,NA,1,2,2,1,1,1,2,2,2,1,1,7,4,2,4,1,NA,NA,8,0,10,10,1,10,10,4,0,10,10,4,4,1,4,4,4,1,1,4,4,2,4,NA,3,1,1,1,0,0,9,2,2,1,1,10,NA,10,10,10,1,NA,1,1,0,NA,5,1,3,1,1,2,1,4,4,2,1965,52,4,3,2,276,"DE",0,276,"DE",0,276,"DE",1,1,1,3,7,3,6,3,5,3,3,2,2,1,2,26,NA,3,22,NA,NA,NA
"51757",1,1,"3-0-0 (2022-05-23)","5-0-0 (2022-05-16)","doi:10.4232/1.13899","doi:10.14281/18241.19","EVS5",756050010,1011,756,"CH",225,2017,201709,201801,7562017,1,5,NA,NA,NA,NA,NA,201,9.52,13.13,20171009,NA,NA,NA,158,"de",1.19026605055703,0.217695778197858,0.315059861373661,"CH0","CH05",NA,3,1,1,2,2,1,1,2,1,1,10,9,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,3,3,3,3,3,2,2,4,4,2,2,1,2,2,2,1,1,3,4,4,3,4,3,4,1,4,2,0,3,1,1,NA,1,1,3,3,7,5,1,1,2,3,4,2,2,1,3,3,3,1,3,3,3,2,3,10,4,4,4,4,NA,75603,8,1,10,10,1,9,10,9,9,10,10,4,4,1,4,2,3,2,1,3,3,1,4,NA,6,1,NA,0,0,0,8,1,1,1,1,10,4,6,6,8,1,1,1,1,0,NA,4,1,1,2,2,2,2,4,4,1,1949,68,6,3,2,348,"HU",0,348,"HU",0,276,"DE",3,1,1,2,3,2,8,3,0,1,2,1,4,1,2,26,NA,7,26,NA,NA,NA
