"","wave","Q288","Q252"
"1",3,6,2
"2",3,10,3
"3",3,6,4
"4",3,7,2
"5",3,5,3
"6",3,6,2
"7",3,5,3
"8",3,7,4
"9",3,9,2
"10",3,6,3
"11",3,3,3
"12",3,5,1
"13",3,8,2
"14",3,5,3
"15",3,2,3
"16",3,9,3
"17",3,4,3
"18",3,4,3
"19",3,6,3
"20",3,7,3
"21",3,6,3
"22",3,5,2
"23",3,5,2
"24",3,7,3
"25",3,3,3
"26",3,5,3
"27",3,7,NA
"28",3,6,2
"29",3,5,3
"30",3,4,3
"31",3,5,3
"32",3,4,3
"33",3,8,3
"34",3,4,2
"35",3,9,3
"36",3,8,3
"37",3,8,3
"38",3,9,3
"39",3,9,2
"40",3,7,3
"41",3,10,3
"42",3,8,2
"43",3,8,3
"44",3,8,2
"45",3,8,2
"46",3,7,2
"47",3,7,2
"48",3,9,NA
"49",3,9,3
"50",3,9,3
"51",3,5,3
"52",3,7,4
"53",3,8,3
"54",3,6,2
"55",3,6,2
"56",3,3,3
"57",3,3,3
"58",3,6,3
"59",3,7,4
"60",3,7,2
"61",3,4,NA
"62",3,NA,4
"63",3,3,3
"64",3,10,2
"65",3,10,3
"66",3,10,3
"67",3,9,3
"68",3,5,2
"69",3,5,2
"70",3,7,2
"71",3,7,2
"72",3,9,2
"73",3,5,2
"74",3,2,2
"75",3,3,3
"76",3,3,4
"77",3,3,2
"78",3,4,3
"79",3,6,2
"80",3,5,3
"81",3,9,4
"82",3,7,3
"83",3,8,3
"84",3,7,2
"85",3,9,4
"86",3,8,3
"87",3,7,3
"88",3,9,2
"89",3,10,4
"90",3,6,4
"91",3,7,3
"92",3,9,4
"93",3,9,4
"94",3,8,2
"95",3,7,3
"96",3,6,4
"97",3,7,3
"98",3,4,3
"99",3,7,2
"100",3,4,3
"101",3,4,3
"102",3,9,3
"103",3,7,3
"104",3,5,4
"105",3,3,2
"106",3,10,3
"107",3,NA,4
"108",3,10,4
"109",3,3,2
"110",3,2,3
"111",3,2,2
"112",3,3,3
"113",3,2,2
"114",3,7,3
"115",3,3,3
"116",3,4,3
"117",3,8,4
"118",3,NA,4
"119",3,8,2
"120",3,7,2
"121",3,7,2
"122",3,8,3
"123",3,7,3
"124",3,7,1
"125",3,7,3
"126",3,4,3
"127",3,3,2
"128",3,4,3
"129",3,8,3
"130",3,NA,3
"131",3,9,3
"132",3,5,2
"133",3,10,3
"134",3,8,3
"135",3,7,3
"136",3,7,3
"137",3,7,2
"138",3,9,3
"139",3,NA,3
"140",3,3,3
"141",3,NA,3
"142",3,8,2
"143",3,8,3
"144",3,9,3
"145",3,3,3
"146",3,3,3
"147",3,NA,4
"148",3,4,3
"149",3,NA,3
"150",3,9,3
"151",3,10,3
"152",3,10,3
"153",3,4,4
"154",3,9,4
"155",3,10,3
"156",3,8,4
"157",3,9,2
"158",3,3,3
"159",3,3,3
"160",3,8,3
"161",3,5,3
"162",3,9,3
"163",3,9,2
"164",3,6,3
"165",3,3,3
"166",3,4,3
"167",3,3,4
"168",3,2,3
"169",3,7,3
"170",3,9,3
"171",3,4,3
"172",3,4,3
"173",3,7,3
"174",3,9,3
"175",3,NA,4
"176",3,5,NA
"177",3,NA,NA
"178",3,NA,NA
"179",3,8,3
"180",3,10,2
"181",3,7,3
"182",3,9,2
"183",3,8,3
"184",3,6,3
"185",3,2,3
"186",3,6,2
"187",3,8,2
"188",3,6,3
"189",3,1,2
"190",3,8,2
"191",3,9,2
"192",3,10,3
"193",3,9,3
"194",3,9,2
"195",3,8,3
"196",3,10,3
"197",3,10,2
"198",3,9,4
"199",3,10,3
"200",3,10,3
"201",3,6,1
"202",3,2,3
"203",3,6,3
"204",3,NA,2
"205",3,2,3
"206",3,5,3
"207",3,9,3
"208",3,9,2
"209",3,4,3
"210",3,4,2
"211",3,9,2
"212",3,8,4
"213",3,9,3
"214",3,9,2
"215",3,7,4
"216",3,5,NA
"217",3,6,3
"218",3,2,4
"219",3,3,4
"220",3,4,4
"221",3,5,3
"222",3,4,4
"223",3,5,2
"224",3,3,4
"225",3,4,3
"226",3,6,2
"227",3,NA,3
"228",3,9,4
"229",3,10,4
"230",3,9,3
"231",3,10,3
"232",3,9,2
"233",3,9,4
"234",3,NA,4
"235",3,10,2
"236",3,NA,3
"237",3,5,3
"238",3,2,3
"239",3,8,2
"240",3,4,1
"241",3,8,3
"242",3,10,4
"243",3,NA,2
"244",3,4,NA
"245",3,NA,2
"246",3,3,3
"247",3,9,3
"248",3,7,3
"249",3,9,2
"250",3,9,2
"251",3,9,3
"252",3,9,3
"253",3,6,3
