"","V1","C_COW_ALPHA","COW","B_COUNTRY_ALPHA","V2","V2A","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V67B","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77_01","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160E","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","v184b","V184G","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","Q223_LOCAL","V221","V222","V223","V224","V225","V225R2","V225R","V226","V226R","V226CS","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V236CS","V237","V238","V239","V240","V241","V242","V246","V247","V243","REGION_ISO","V244","V245","S018","V245A","Y001","Y002","Y003","SACSECVAL","SECVALWGT","RESEMAVAL","RESEMAWEIGHT","I_AUTHORITY","I_NATIONALISM","I_DEVOUT","DEFIANCE","WEIGHT1A","I_RELIGIMP","I_RELIGBEL","I_RELIGPRAC","DISBELIEF","WEIGHT2A","I_NORM1","I_NORM2","I_NORM3","RELATIVISM","WEIGHT3A","I_TRUSTARMY","I_TRUSTPOLICE","I_TRUSTCOURTS","SCEPTICISM","WEIGHT4A","I_INDEP","I_IMAGIN","I_NONOBED","AUTONOMY","WEIGHT1B","I_WOMJOB","I_WOMPOL","I_WOMEDU","EQUALITY","WEIGHT2B","I_HOMOLIB","I_ABORTLIB","I_DIVORLIB","CHOICE","WEIGHT3B","I_VOICE1","I_VOICE2","I_VOI2_00","VOICE","WEIGHT4B","S001","S007","wave"
"1",4,"USA",2,"USA",840,840,101,1,2,1,1,3,1,2,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,1,1,2,4,1,3,1,2,3,3,2,2,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,3,1,8,9,7,1,4,1,1,2,2,1,2,2,2,1,2,1,2,4,3,4,4,4,4,1,1,1,1,2,2,1,2,2,2,2,2,2,2,3,2,3,2,3,4,1,1,4,2,1,2,2,1,1,3,1,1,1,2,3,3,10,2,7,1,8,2,5,3,1,2,3,3,4,2,4,3,4,2,2,3,4,3,3,4,8,3,3,4,3,3,3,3,3,2,1,4,1,3,3,1,3,3,1,1,1,2e+07,2,1,1,1,1,1,1,1,1,1,1,1,10,1,1,2,1,4,1,5,1,1,1,1,2,2,2,5,2,2,3,2,1,1,1105,1240,840001,840001,840005,NA,2,1942,56,3,5,8,3,840122,28,2,4,3,2,2,3,2,2,8,840008,2,237,42,1,7,840002,1999,19991123,840004,NA,1240,0.78534,0.833333,0.78534,2,2,NA,0.11411,0.915,0.449722,1,0,0,0.33,0.11,1,0,0,0,0,1,0,0,0,0,1,0.33,0.33,NA,0.34644,0.66,0,0,1,0.333333,1,1,0.33,0.66,0.663333,1,0.111111,0.111111,0.444444,0.222222,1,0.66,0.5,0.58,0.58,1,2,8400480001,4
"2",4,"USA",2,"USA",840,840,102,1,2,1,3,2,1,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,2,1,3,2,3,1,3,2,2,3,3,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,3,8,8,3,1,3,1,1,1,2,1,2,1,2,2,1,1,4,4,3,2,5,4,1,2,1,1,3,NA,1,1,2,2,2,3,2,2,3,3,4,3,2,3,4,1,4,2,1,3,1,1,1,2,3,1,2,2,2,2,5,2,9,2,10,2,8,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,2,3,3,3,3,1,3,3,1,3,3,3,3,3,3,1,1,9e+07,9,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,4,3,3,4,4,4,1,1,1,1,4,3,1,2,1,2,5,1102,1240,840002,840002,840005,NA,2,1957,42,2,3,9,3,840123,21,2,1,3,2,1,6,2,3,7,840007,2,950,45,1,7,840002,1999,19991122,840004,NA,1240,0.78534,0.833333,0.78534,2,2,0,0.420092,0.915,0.624028,1,0,0.33,0.33,0.22,1,0,0,0,0,1,1,1,0,0.666667,1,0.66,1,NA,0.7937,0.66,1,1,1,1,1,0.5,0.66,1,0.72,1,0,0,0.333333,0.111111,1,0.33,1,0.665,0.665,1,2,8400480002,4
"3",4,"USA",2,"USA",840,840,103,1,1,2,2,1,1,1,2,2,1,1,2,2,1,2,1,2,2,1,1,1,1,2,1,1,3,3,3,2,4,3,2,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,3,1,7,7,9,3,2,1,1,2,1,2,2,2,2,2,2,1,2,2,3,4,3,4,3,1,1,1,3,2,3,2,2,2,1,2,3,1,2,2,3,4,1,2,1,4,1,4,2,2,3,1,1,1,3,2,2,2,2,3,3,6,2,9,7,8,3,6,3,1,1,2,2,2,2,2,3,2,2,2,3,2,3,3,2,8,4,2,3,2,2,2,2,3,1,2,2,1,3,2,1,2,2,2,1,1,9e+07,9,2,1,1,1,1,1,1,1,1,1,1,10,1,1,1,3,4,2,4,3,1,3,2,4,3,3,8,3,3,2,1,1,2,1102,1240,840002,840002,840001,NA,2,1962,37,2,3,8,3,840122,40,2,1,4,1,NA,NA,2,4,3,840003,2,650,45,1,7,840003,1999,19991123,840004,NA,1240,0.78534,0.833333,0.78534,1,2,NA,0.262078,0.915,0.374028,1,0,0,0.33,0.11,1,0,0,0.166667,0.055556,1,0,1,1,0.666667,1,0,0.33,NA,0.21609,0.66,0,0,0,0,1,1,0.66,1,0.886667,1,0.333333,0.222222,0.777778,0.444444,1,0.33,0,0.165,0.165,1,2,8400480003,4
"4",4,"USA",2,"USA",840,840,104,1,2,2,1,1,2,1,2,1,2,3,2,1,1,2,1,2,1,1,2,2,2,2,1,1,3,2,1,1,2,2,3,1,2,1,2,1,1,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,3,2,9,9,9,5,3,4,2,2,2,2,2,2,2,1,1,1,2,4,3,3,3,3,3,1,2,3,1,2,2,1,2,2,2,NA,2,2,3,NA,NA,3,2,3,4,1,4,1,1,1,2,3,1,1,1,1,1,2,1,3,3,8,2,5,4,8,1,6,3,2,1,3,3,3,2,2,2,2,3,3,2,3,2,2,3,8,2,2,4,1,1,4,4,4,1,1,2,2,3,3,3,3,3,3,3,2,2e+07,2,2,1,2,2,1,2,1,1,1,2,1,7,1,1,3,2,1,3,2,9,1,1,1,6,1,7,7,6,1,1,3,1,1,1105,1240,840001,840001,5,NA,2,1953,46,2,4,9,3,840123,21,2,1,3,2,1,4,1,2,9,840009,3,525,55,1,7,840002,1999,19991123,840004,NA,1240,0.78534,0.833333,0.78534,2,2,0,0.145912,0.83,0.572746,0.915,0,0,NA,0.202,0.66,0.33,0,0.166667,0.165556,1,0,0,0,0,1,0,0.33,NA,0.21609,0.66,0,0,1,0.333333,1,1,NA,0.66,0.74802,0.66,0.555556,0.666667,0.666667,0.62963,1,0.66,0.5,0.58,0.58,1,2,8400480004,4
"5",4,"USA",2,"USA",840,840,105,1,2,1,3,1,1,2,2,1,1,1,2,1,1,2,1,2,2,1,2,1,2,1,1,1,2,1,3,1,2,2,3,2,1,2,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,3,1,8,10,9,5,4,2,1,1,1,1,1,2,1,1,1,2,1,1,3,2,2,1,2,2,1,1,1,3,3,2,2,2,1,1,4,1,4,1,4,4,1,2,1,3,1,2,2,3,3,2,1,1,1,2,1,2,1,2,2,9,2,8,8,10,1,10,3,1,1,3,3,3,2,2,3,2,2,3,3,4,4,4,4,8,1,2,3,2,1,2,3,2,1,1,2,2,2,1,2,2,3,3,1,2,9e+07,9,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,2,2,1,4,10,6,10,1,1,1,5,1,5,1,1,2,2,2,1102,1240,840002,840002,840005,NA,2,1951,48,2,4,9,3,840123,28,2,1,3,2,1,3,1,2,9,840009,3,100,45,1,7,840003,1999,19991126,840004,NA,1240,0.78534,0.833333,0.78534,1,1,NA,0.248189,0.915,0.287037,1,0,0.33,0,0.11,1,0,0,0,0,1,1,1,0,0.666667,1,0,0.33,NA,0.21609,0.66,0,0,0,0,1,1,1,1,1,1,0,0.444444,0,0.148148,1,0,0,0,0,1,2,8400480005,4
"6",4,"USA",2,"USA",840,840,106,1,1,1,3,1,1,2,1,2,1,1,2,2,1,2,1,2,1,1,2,1,2,1,1,1,4,2,4,3,3,3,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,3,1,6,8,9,5,4,2,1,2,1,2,1,2,1,1,2,1,2,1,3,1,1,4,2,1,4,1,1,4,3,1,2,2,3,1,4,1,1,1,3,3,1,3,4,1,1,4,2,1,1,1,1,1,1,3,1,2,2,2,2,5,2,8,8,8,4,8,3,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,2,2,3,3,3,2,1,2,NA,3,2,1,2,3,1,NA,NA,NA,1,2,9e+07,9,1,1,2,1,1,2,1,1,1,1,1,10,1,1,1,1,3,1,3,5,4,3,3,3,3,4,5,4,4,5,1,1,4,1102,1240,840002,840002,840001,NA,2,1961,38,2,3,8,3,840122,38,2,1,3,2,1,7,2,4,8,840008,4,245,100,2,7,840003,1999,19991126,840004,NA,1240,0.78534,0.833333,0.78534,2,2,NA,0.369198,0.915,0.421667,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0.66,0.33,NA,0.47679,0.66,0,0,0,0,1,1,0.66,0.66,0.773333,1,0.222222,0.333333,0.444444,0.333333,1,0.66,0.5,0.58,0.58,1,2,8400480006,4
"7",4,"USA",2,"USA",840,840,107,1,1,1,3,2,1,1,1,2,1,1,2,2,1,2,1,2,1,1,2,1,2,1,1,1,3,1,3,2,3,3,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,1,1,1,2,3,1,6,9,9,3,4,1,1,1,1,1,1,1,1,1,2,2,2,2,4,3,2,3,3,1,1,1,1,3,3,1,1,2,2,1,2,1,1,3,3,3,1,2,1,3,1,2,2,1,3,2,1,1,1,3,1,2,2,3,3,NA,2,4,6,5,6,4,2,1,2,3,3,3,2,2,3,3,2,3,2,2,NA,NA,NA,3,4,3,4,1,2,3,3,2,1,3,2,2,3,3,3,NA,NA,3,1,1,2e+07,2,1,1,1,1,1,2,1,1,1,1,1,10,1,1,1,1,2,2,2,1,1,1,1,1,1,1,7,1,1,1,2,1,2,1102,1240,840002,840002,840005,NA,2,1947,51,3,4,9,3,840123,22,2,1,3,2,1,3,2,4,9,840009,4,1030,55,1,7,840003,1999,19991126,840004,NA,1240,0.78534,0.833333,0.78534,1,1,NA,0.08661,0.915,0.248889,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.33,0.33,NA,0.34644,0.66,0,0,0,0,1,1,0.66,0.66,0.773333,1,0,0,0.666667,0.222222,1,0,0,0,0,1,2,8400480007,4
"8",4,"USA",2,"USA",840,840,108,1,1,2,3,3,1,2,2,3,1,1,2,1,1,2,1,2,2,1,2,1,2,2,1,1,3,1,3,2,4,4,3,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,2,3,3,1,7,3,3,1,3,1,1,2,2,1,2,1,2,2,2,2,5,3,4,3,3,4,1,1,1,1,3,3,1,2,2,2,2,2,1,1,3,3,3,2,1,2,1,1,4,1,2,1,2,1,1,1,4,1,2,1,2,2,9,2,8,1,10,1,3,3,1,1,3,3,3,2,3,3,3,3,2,3,3,4,2,2,2,3,3,3,1,4,4,3,3,1,2,4,1,4,3,1,3,3,1,1,1,9e+07,9,1,1,1,1,1,2,1,1,1,1,1,10,1,1,1,1,5,1,5,1,1,1,1,1,1,1,6,6,3,1,3,2,2,1105,1240,840002,840002,5,NA,2,1951,48,2,4,9,3,840123,22,2,1,3,2,1,3,4,2,8,840008,4,324,49,1,7,840002,1999,19991126,840004,NA,1240,0.78534,0.833333,0.78534,1,2,NA,0.109023,0.915,0.32213,1,0,0.33,0.33,0.22,1,0,0,0,0,1,0,0,0,0,1,0,0.33,NA,0.21609,0.66,0,0,0,0,1,1,0.66,0.66,0.773333,1,0,0,0.555556,0.185185,1,0.66,0,0.33,0.33,1,2,8400480008,4
"9",4,"USA",2,"USA",840,840,109,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,2,1,2,2,3,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,10,10,10,5,1,4,1,2,1,1,2,2,2,1,1,2,2,1,4,4,1,4,3,2,1,2,3,4,4,1,2,2,2,2,2,1,3,1,3,3,2,4,2,4,4,3,1,1,2,1,1,1,1,1,2,2,2,2,2,10,2,1,5,5,1,5,3,1,1,2,2,3,1,1,2,2,2,2,2,2,2,2,2,5,2,4,2,1,2,4,1,1,3,2,2,2,4,1,1,1,1,1,1,1,9e+07,9,3,1,2,1,1,1,1,1,1,1,1,10,1,1,1,3,2,1,5,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1103,1240,840002,840002,840001,NA,2,1923,76,3,6,3,1,840117,17,2,1,1,1,NA,NA,2,3,5,840005,3,1240,40,1,7,840002,1999,19991127,840004,NA,1240,0.78534,0.833333,0.78534,3,3,0,0.070278,0.915,0.235,1,0,0,0.33,0.11,1,0,0,0.333333,0.111111,1,0,0,0,0,1,0,0,NA,0.06,0.66,0,0,0,0,1,0,0.66,0.66,0.44,1,0,0,0,0,1,1,0,0.5,0.5,1,2,8400480009,4
"10",4,"USA",2,"USA",840,840,110,1,1,1,2,2,2,2,1,1,1,3,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,3,1,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,1,2,3,1,8,8,7,3,3,1,1,2,2,2,2,2,2,2,2,1,1,2,4,2,2,5,2,1,1,1,1,2,4,1,NA,2,2,2,3,2,1,2,3,4,1,4,1,2,4,1,1,1,3,1,1,1,3,2,1,2,2,2,NA,6,NA,7,4,9,2,2,2,1,2,3,3,3,2,3,3,3,3,2,3,3,3,3,NA,9,2,2,3,2,2,2,2,2,2,3,3,1,2,2,2,3,3,2,2,1,10100000,1,3,1,1,1,1,1,1,1,1,1,1,9,1,1,1,2,4,2,5,2,3,4,1,2,2,2,3,2,2,1,3,1,2,1103,1240,840001,840001,5,840005,1,1954,44,2,3,8,3,840122,20,2,3,2,1,NA,NA,1,2,10,840010,3,1120,50,2,7,840002,1999,19991129,840004,NA,1240,1.376147,0.833333,1.376147,1,2,1,0.336055,0.915,0.466621,1,0,0,0.33,0.11,1,0.33,0,0.333333,0.221111,1,1,1,0,0.666667,1,0.33,0.33,NA,0.34644,0.66,1,0,1,0.666667,1,1,0.66,1,0.886667,1,0.111111,0.111111,0.222222,0.148148,1,0.33,0,0.165,0.165,1,2,8400480010,4
