id,gender,ACE1,ACE2,ACE3,ACE4,ACE5,ACE6,ACE7,ACE8,ACE9,ACE10,RSQ1,RSQ2,RSQ3,RSQ4,RSQ5,RSQ6,RSQ7,RSQ8,RSQ9,RSQ10,RSQ11,RSQ12,RSQ13,RSQ14,RSQ15,RSQ16,RSQ17,RSQ18,RSQ19,RSQ20,RSQ21,RSQ22,RSQ23,RSQ24,RSQ25,RSQ26,RSQ27,RSQ28,RSQ29,RSQ30
1,2,0,0,0,0,0,0,0,0,0,0,2,5,3,3,5,4,3,3,4,3,5,4,3,5,5,5,2,3,3,3,5,1,3,2,3,3,3,4,3,3
2,1,0,0,0,0,0,0,1,0,0,0,4,4,3,2,4,2,5,3,5,2,4,4,4,5,4,5,2,1,4,3,4,2,5,4,3,4,4,2,3,4
3,2,0,0,0,0,0,0,0,1,0,0,3,5,3,1,4,3,3,3,2,3,4,4,4,4,4,4,3,1,5,4,4,2,3,3,2,5,4,5,5,3
4,1,0,1,0,0,0,1,0,0,0,0,2,2,5,5,2,1,2,4,4,3,2,2,2,5,3,1,2,2,3,2,3,1,1,1,2,2,2,3,1,2
5,2,0,1,0,0,0,1,0,0,0,0,3,4,4,5,3,2,3,5,5,3,5,3,1,5,4,4,2,1,5,3,5,2,3,2,3,3,4,4,2,4
6,1,1,1,0,0,0,0,0,1,0,1,3,4,1,5,3,5,3,5,4,5,5,5,1,5,5,5,2,5,4,1,5,5,5,3,5,4,4,5,1,4
7,2,0,0,0,1,0,0,0,1,1,1,5,5,1,2,5,5,NA,1,5,1,5,5,5,2,4,5,5,1,5,3,5,3,5,4,5,5,1,5,2,1
8,1,1,1,0,0,0,0,0,0,0,0,4,5,3,4,2,3,2,5,3,2,NA,2,2,5,3,3,3,NA,4,2,2,3,1,2,NA,4,4,3,NA,NA
9,2,0,0,0,0,0,1,0,0,1,0,3,3,4,3,2,4,3,3,4,2,3,4,2,4,3,5,2,2,3,3,5,3,5,2,2,3,3,5,3,3
10,1,1,0,0,1,0,1,0,1,0,0,4,4,2,2,3,4,4,2,3,1,4,5,5,2,3,3,3,2,4,5,3,3,3,4,2,3,3,2,3,3
11,2,0,0,0,0,0,0,0,0,0,0,4,5,2,2,2,3,2,3,1,2,1,2,3,3,4,4,2,1,4,2,1,2,1,3,2,4,4,1,5,2
12,2,0,0,0,1,0,1,0,1,0,1,3,5,2,3,5,4,5,3,3,2,5,5,2,5,4,5,3,2,4,2,5,3,2,2,2,4,3,3,1,3
13,2,0,0,0,0,0,0,0,0,0,0,3,4,5,3,3,2,3,3,5,3,4,2,3,4,4,5,3,2,3,4,4,3,4,2,3,3,4,5,2,4
