"","V1","V2","B_COUNTRY_ALPHA","COW","C_COW_ALPHA","V2A","V2B","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56_01","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149_07","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179G","v179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V210_local","V211","V212","V213","V214","V215","V216","v216R2","v216R","V217","V217R","V217CS","V218","V219","V220","V221","V222","V225","V226","V227","V227CS","V228","V229","V230","V231","V232","V233","V234","N_REGION_ISO","V235","V237A","V237B","V237C","V237D","V238","V236","S018","V236A","Y001","Y002","Y003","SACSECVAL","SACSECWGT","RESEMAVAL","RESEMAWEIGHT","I_AUTHORITY","I_NATIONALISM","I_DEVOUT","DEFIANCE","I_RELIGIMP","I_RELIGBEL","I_RELIGPRAC","DISBELIEF","I_NORM1","I_NORM2","I_NORM3","RELATIVISM","I_TRUSTARMY","I_TRUSTPOLICE","I_TRUSTCOURTS","SCEPTICISM","I_INDEP","I_IMAGIN","I_NONOBED","AUTONOMY","I_WOMJOB","I_WOMPOL","I_WOMEDU","EQUALITY","I_HOMOLIB","I_ABORTLIB","I_DIVORLIB","CHOICE","I_VOICE1","I_VOICE2","I_VOI2_00","VOICE","wave"
"1",3,840,"USA",2,"USA",840,1,1,1,1,2,2,2,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,3,2,1,2,3,3,3,1,3,3,2,2,1,4,4,1,2,2,2,2,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1,1,2,3,2,9,9,9,1,1,1,1,1,4,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,6,0,NA,1,2,2,1,2,3,1,1,1,4,1,4,1,2,1,3,4,1,1,1,2,2,2,2,1,1,1,2,1,2,3,2,2,3,3,1,1,1,7,5,4,2,3,2,2,2,3,3,3,2,2,2,2,2,2,3,3,2,2,5,7,8,2,3,4,1,1,1,4,4,4,1,1,2,1,6,2,2,2,3,2,1,3,3,2,2,1,2,2e+07,1,3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,5,5,1,5,3,1,7,3,1105,9000,840002,840002,840003,840003,2,1,1951,44,2,3,4,2,840118,19,2,1,5,1,1,2,6,6,2,245,26,1,8,840010,840006,NA,1240,1,2,1,2,1995,0.50021,0.648508,0.50021,0,1,NA,0.179445,1,0.24537,1,0.5,0,0,0.166667,0.33,0,0.333333,0.221111,0,0,0,0,0.33,0.33,0.33,0.33,0,0,0,0,0.5,1,1,0.833333,0,0,0.444444,0.148148,0,0,0,0,3
"2",3,840,"USA",2,"USA",840,1,2,1,1,2,3,2,3,1,1,1,3,1,2,2,1,2,1,2,1,2,1,2,3,1,1,2,1,2,2,2,1,1,2,3,2,2,2,4,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,1,2,3,3,3,8,9,9,1,1,3,1,2,3,3,4,1,2,2,2,2,1,2,1,1,1,1,1,2,1,1,0,2,1,2,2,2,2,1,2,2,1,3,3,3,3,1,2,3,2,1,NA,1,1,1,1,1,3,2,1,1,2,3,3,4,2,4,1,7,3,3,7,7,7,1,2,3,3,3,3,3,3,1,3,3,3,2,3,2,3,3,3,6,2,1,2,2,4,1,1,1,2,3,3,2,1,4,1,2,2,2,1,1,NA,1,2,3,2,2,2,2,2e+07,1,6,1,1,1,1,1,1,1,1,7,2,1,1,2,1,1,6,2,7,5,9,4,5,1,1,1,NA,1105,1240,8,8,840002,5,2,2,1955,40,2,3,8,3,840122,20,2,1,3,1,1,4,10,10,2,425,45,1,4,840010,840007,NA,1240,2,2,2,2,1995,0.87037,0.648508,0.87037,3,2,1,0.317778,1,0.623056,1,0,0,0,0,0.66,0,0.833333,0.497778,0,1,0,0.333333,0.66,0,0.66,0.44,0,0,1,0.333333,1,0.66,0.66,0.773333,0.555556,0.666667,0.444444,0.555556,0.66,1,0.83,0.83,3
"3",3,840,"USA",2,"USA",840,1,3,2,3,3,3,3,3,2,3,1,3,2,1,1,1,2,1,2,1,2,2,2,3,NA,NA,3,3,3,3,3,3,3,3,3,2,2,3,4,1,NA,1,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2,3,3,3,2,9,6,3,2,3,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,0,1,2,1,1,1,3,2,2,3,3,3,3,4,1,2,4,1,2,1,2,2,1,2,2,1,2,1,1,1,2,3,3,1,10,2,5,5,7,7,5,3,1,2,3,2,3,3,4,3,3,4,3,3,NA,2,2,2,2,3,9,9,7,2,2,4,1,1,1,3,3,3,1,4,2,1,2,1,1,1,1,NA,2,NA,3,1,1,2,0,100000020,1,7,1,1,NA,1,2,2,2,1,9,1,1,1,1,1,1,10,10,10,10,10,10,5,1,2,1,NA,1103,1240,840002,840002,840003,840001,3,1,1951,43,2,3,8,3,840122,41,2,1,9,1,3,4,6,6,2,1130,75,1,4,840010,840002,NA,1240,3,2,3,2,1995,1.42561,0.648508,1.42561,3,3,2,0.4,1,0.735,1,0.5,0.33,0.66,0.496667,0.66,0,1,0.553333,0,0,0,0,0.33,0.66,0.66,0.55,1,0,1,0.666667,1,0.66,0.66,0.773333,1,1,1,1,1,0,0.5,0.5,3
"4",3,840,"USA",2,"USA",840,1,4,1,1,2,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,4,1,1,2,2,3,1,3,3,1,3,2,2,4,1,2,2,1,2,2,2,1,1,2,1,1,2,2,1,1,2,2,2,1,1,3,3,3,9,9,9,1,1,1,2,2,3,2,4,1,2,1,1,1,1,2,1,1,1,1,1,1,1,6,0,3,1,2,2,1,1,2,1,1,1,4,2,4,1,3,1,2,4,1,1,1,2,2,2,1,1,2,1,2,2,3,3,7,2,4,5,1,1,1,7,5,1,2,3,1,1,2,3,3,3,2,2,3,2,2,2,3,2,1,1,5,7,9,4,3,4,1,1,2,3,3,3,1,1,1,2,6,2,2,2,3,2,2,3,2,2,1,1,1,10100000,1,2,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,1105,1240,840002,840002,840003,840001,1,2,1959,36,2,3,8,3,840122,24,2,1,1,1,1,2,7,7,2,246,29,1,8,840010,840006,NA,1240,2,2,2,2,1995,0.88037,0.648508,0.88037,2,2,NA,0.138056,1,0.35375,1,0.5,0,0.33,0.276667,0,0,0.166667,0.055556,0,0,0,0,0,0.33,0.33,0.22,0,0,0,0,1,1,1,1,0,0,0,0,0.33,0.5,0.415,0.415,3
"5",3,840,"USA",2,"USA",840,1,5,1,2,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,1,2,2,2,4,2,2,3,3,3,3,3,3,3,3,3,2,2,3,1,1,1,2,2,1,NA,1,2,2,1,2,2,1,1,2,2,2,2,2,3,3,NA,2,9,10,2,2,3,2,3,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,6,0,2,2,2,2,2,2,2,2,2,3,3,3,3,1,2,2,4,1,3,1,1,1,1,1,1,3,3,2,2,2,2,2,5,2,5,2,10,1,1,10,10,5,1,3,2,1,3,3,3,NA,2,3,3,3,1,2,2,2,2,2,NA,6,9,4,3,4,1,2,1,3,2,3,1,1,2,1,1,2,2,2,1,NA,1,1,3,2,2,2,2,2e+07,1,3,2,1,1,1,1,1,1,1,8,1,1,3,1,1,1,1,1,10,10,5,5,1,2,2,1,NA,1103,1240,840002,840002,840001,5,3,2,1970,25,1,2,9,3,840123,23,2,1,7,2,2,5,5,5,2,325,40,2,4,840010,840007,NA,1240,1,2,2,2,1995,0.65028,0.648508,0.65028,3,3,1,0.359444,1,0.651667,1,0,0.33,0.33,0.22,0.33,1,0.333333,0.554444,1,0,0,0.333333,0,0.33,0.66,0.33,1,0,1,0.666667,1,0.66,0.66,0.773333,0,1,1,0.666667,1,0,0.5,0.5,3
"6",3,840,"USA",2,"USA",840,1,6,2,3,2,1,2,2,2,2,1,3,1,2,2,1,2,1,1,2,1,2,2,3,1,2,1,1,2,1,1,3,2,2,1,2,3,3,3,1,1,1,2,2,1,1,1,2,1,1,2,2,2,1,2,2,2,1,2,3,3,1,9,6,7,2,2,2,1,3,2,4,2,2,2,1,1,2,1,2,1,1,1,1,1,2,1,6,0,2,2,2,2,2,1,1,2,2,1,2,3,3,1,4,4,3,4,3,2,1,1,1,1,1,1,1,1,2,1,3,3,4,2,4,5,6,3,3,7,3,5,2,2,2,2,3,2,3,3,2,2,3,2,1,2,3,3,4,2,4,3,3,2,2,4,2,2,1,3,3,3,2,2,2,2,2,1,1,1,1,NA,2,3,2,3,2,2,2,2e+07,1,2,1,1,2,1,2,2,NA,1,4,1,2,3,3,3,4,NA,4,7,8,5,4,2,3,2,1,NA,1103,1240,840002,840002,840003,5,2,1,1956,39,2,3,9,3,840123,22,2,1,3,1,1,2,6,6,4,220,40,1,4,840010,840007,NA,1240,2,3,2,1,1995,0.65528,0.648508,0.65528,2,2,NA,0.428889,1,0.491361,0.915,0,0.33,0,0.11,0.33,0,0.166667,0.165556,1,1,1,1,0.33,0.33,0.66,0.44,0,0,1,0.333333,1,0.33,0.66,0.663333,NA,0.666667,0.777778,0.638778,0.66,0,0.33,0.33,3
"7",3,840,"USA",2,"USA",840,1,7,1,1,2,3,2,1,1,3,1,1,1,1,1,1,2,2,2,2,1,2,2,3,4,1,1,3,3,3,1,3,3,2,3,2,2,2,1,1,1,1,1,2,2,NA,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,4,4,8,1,2,4,1,2,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,2,2,2,2,2,2,3,3,2,2,2,1,1,2,1,4,2,1,1,1,1,1,1,3,2,2,2,3,3,NA,3,7,4,9,2,6,8,4,4,2,3,2,2,2,2,2,3,2,3,3,3,2,2,2,2,NA,2,6,7,8,2,1,3,2,1,1,NA,NA,2,2,2,2,NA,6,2,2,2,2,1,1,2,2,3,1,1,1,10100000,1,2,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,4,4,1,3,1,1,1,NA,1103,1240,840002,840002,840001,840003,2,2,1915,80,3,6,5,2,840119,NA,2,4,4,2,2,4,5,5,NA,1140,70,1,7,840010,840007,NA,1240,1,1,1,1,1995,0.81034,0.648508,0.81034,1,2,0,0.096389,1,0.318195,1,0,0,0,0,0,0,0.166667,0.055556,0,0,0,0,0.33,0.33,0.33,0.33,1,0,1,0.666667,0,0.66,0.33,0.33,0,0,0.333333,0.111111,0.33,0,0.165,0.165,3
"8",3,840,"USA",2,"USA",840,1,8,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,1,4,2,2,1,3,3,3,1,3,3,3,3,2,2,2,3,2,1,1,1,2,2,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,NA,1,4,8,9,1,4,3,2,1,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,1,2,2,2,2,3,3,1,3,3,3,3,2,3,2,4,2,1,2,1,3,2,1,1,3,2,1,1,2,3,3,10,2,10,1,10,1,1,10,10,6,2,2,1,2,3,4,4,NA,2,4,3,3,2,3,NA,4,NA,4,5,1,8,4,4,4,1,1,2,4,3,4,1,1,4,1,7,2,2,2,1,NA,1,1,2,2,1,1,9,9e+07,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,NA,1105,1240,840001,840001,840003,5,2,2,1946,48,2,4,8,3,840122,48,2,1,7,2,1,4,7,7,2,750,65,1,7,840010,840007,NA,1240,2,1,2,1,1995,1.1855,0.648508,1.1855,4,3,NA,0.1375,1,0.316019,1,0,0,0.33,0.11,0,0,0,0,0,0,0,0,0.33,0.33,0.66,0.44,0,0,0,0,0,0.66,0.66,0.44,0,0,0.222222,0.074074,1,0.5,0.75,0.75,3
"9",3,840,"USA",2,"USA",840,1,9,1,1,2,1,3,1,2,1,1,1,1,2,2,1,2,1,2,2,1,2,1,2,4,1,2,3,1,3,1,3,3,1,3,2,2,2,2,1,1,1,1,2,2,1,1,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,10,9,9,2,3,4,2,2,3,3,4,2,1,2,1,2,2,2,1,1,1,2,1,1,1,5,0,2,1,2,2,2,2,2,2,2,2,3,3,3,2,1,1,2,4,2,2,1,2,3,1,1,2,1,3,3,3,3,3,8,2,9,4,10,5,6,9,4,4,1,3,1,1,3,3,4,4,2,2,2,3,3,1,3,3,2,2,7,3,6,3,1,4,1,2,1,3,3,3,2,3,2,2,7,2,2,2,3,1,1,1,1,2,1,1,1,10100000,1,2,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,1103,1240,840001,840001,840003,840002,2,2,1902,93,3,6,8,3,840122,21,2,4,1,1,NA,2,9,9,4,1200,45,1,7,840010,840007,NA,1240,1,2,3,1,1995,0.72031,0.648508,0.72031,2,2,NA,0.123889,1,0.15125,1,0,0,0.33,0.11,0,0,0.166667,0.055556,0,0,0,0,0,0.33,0.66,0.33,0,0,0,0,0,0.66,0.66,0.44,0,0,0,0,0.33,0,0.165,0.165,3
"10",3,840,"USA",2,"USA",840,1,10,1,2,2,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,4,2,2,1,3,3,3,3,3,3,3,3,3,2,3,3,2,2,NA,NA,NA,NA,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,3,1,9,10,9,1,1,3,1,4,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,NA,1,2,2,1,2,2,2,2,3,2,2,1,2,2,4,1,4,4,1,1,4,1,1,2,1,1,1,1,2,2,3,3,3,3,7,3,9,9,8,8,10,8,9,8,2,4,1,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,NA,8,10,2,2,3,3,2,1,2,2,2,2,2,3,1,6,2,2,2,3,1,1,3,2,3,1,1,2,2e+07,1,1,1,1,1,1,1,1,1,1,10,1,2,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,1102,1240,840002,840002,840002,5,3,1,1963,32,2,2,4,2,840118,NA,2,1,7,NA,2,4,6,6,4,300,60,2,NA,840011,840005,NA,1240,2,3,2,3,1995,0.79034,0.648508,0.79034,1,2,NA,0.1375,1,0.276667,1,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.66,0.66,0.55,0,0,1,0.333333,0,0.33,1,0.443333,0,0,0,0,0.66,0,0.33,0.33,3
