"","V1","B_COUNTRY_ALPHA","C_COW_ALPHA","V1A","V1B","V2","V2A","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146_05","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185G","V185b","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213B","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","Q223_LOCAL","V232","V233","V233A","V234","V235","V236","V237","V237R2","V237R","V238","V238R","V238CS","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V253CS","V255","V256","V257","N_REGION_ISO","V258","V259","V259A","V260","V265","Y001","Y002","Y003","SACSECVAL","SECVALWGT","RESEMAVAL","WEIGHTB","I_AUTHORITY","I_NATIONALISM","I_DEVOUT","DEFIANCE","WEIGHT1A","I_RELIGIMP","I_RELIGBEL","I_RELIGPRAC","DISBELIEF","WEIGHT2A","I_NORM1","I_NORM2","I_NORM3","RELATIVISM","WEIGHT3A","I_TRUSTARMY","I_TRUSTPOLICE","I_TRUSTCOURTS","SCEPTICISM","WEIGHT4A","I_INDEP","I_IMAGIN","I_NONOBED","AUTONOMY","WEIGHT1B","I_WOMJOB","I_WOMPOL","I_WOMEDU","EQUALITY","WEIGHT2B","I_HOMOLIB","I_ABORTLIB","I_DIVORLIB","CHOICE","WEIGHT3B","I_VOICE1","I_VOICE2","I_VOI2_00","VOICE","WEIGHT4B","S001","S007","S018","S019","S021","S024","S025","COW"
"1",5,"USA","USA",2,2,840,840,590,1,1,2,3,3,2,2,3,1,2,1,1,1,2,1,2,2,2,4,2,0,0,0,0,0,0,0,0,0,NA,1,2,2,2,2,2,1,2,2,2,3,2,4,2,3,4,5,4,5,3,5,6,2,1,1,2,4,4,4,3,1,4,2,6,1,3,2,4,3,2,2,1,2,3,2,2,6,5,2,2,5,3,5,5,4,1,4,7,4,3,3,1,2,3,NA,1,1,NA,NA,2,4,3,3,1,2,2,2,2,2,3,1,3,4,3,3,7,5,5,5,1,1,2,2,4,2,2,4,2,3,3,3,2,2,3,4,3,2,4,3,3,3,3,3,3,2,4,2,5,1,5,5,10,8,5,5,5,8,7,3,2,2,4,1,2,1,2,2,2,2,NA,2,7,2,2,3,3,1,2,9,9e+07,7,2,2,2,1,2,1,1,5,1,5,1,1,1,1,1,10,10,10,8,9,9,1,3,2,3,2,2,3,2,2,3,3,2,2,9,1240,1,1,2,2,2,2,1,2,8,8,840002,840001,4,1,2,1971,35,2,3,5,2,840003,18,2,8,NA,NA,NA,NA,NA,NA,2,1,5,2,4,3,840048,7,1400,840007,NA,1240,0.720058,0.720058,2006,2,5,3,2,0.47,1,0.918982,1,1,0.66,0.66,0.773333,1,0.33,1,1,0.776667,1,0,0,0,0,1,0.33,0.33,0.33,0.33,1,1,1,1,1,1,1,1,1,1,1,1,1,0.777778,0.925926,1,1,0.5,0.75,0.75,1,2,8400600001,0.576507,0.864761,84005212006,8405,8402006,2
"2",5,"USA","USA",2,2,840,840,368,1,1,2,4,4,4,4,4,2,1,1,2,2,1,1,2,2,1,4,1,0,0,0,0,0,0,0,0,0,NA,1,2,2,1,1,2,2,2,2,2,3,1,5,8,1,2,1,2,3,2,4,1,2,2,2,2,2,4,2,2,1,2,1,4,1,2,3,2,1,4,1,2,1,2,1,3,5,1,2,3,4,5,2,3,2,1,7,9,5,5,4,2,2,3,NA,2,2,2,NA,2,3,4,2,2,2,2,4,3,2,8,1,7,1,8,1,3,5,7,10,3,1,2,2,2,2,2,1,2,4,3,3,2,2,2,3,3,2,3,4,4,3,4,4,3,3,4,1,1,1,10,2,1,10,7,8,10,10,10,8,2,2,2,4,2,1,2,2,2,2,NA,2,10,1,1,2,2,2,4,2,2e+07,4,1,1,1,1,2,10,1,4,4,2,5,1,1,1,1,1,1,2,5,2,1,1,1,3,1,1,3,3,2,2,3,2,1,1,6,1240,2,1,2,1,1,1,1,1,840001,840001,8,840002,840001,2,2,1949,57,3,5,5,2,840003,18,2,5,NA,NA,NA,NA,NA,NA,2,1,6,2,4,4,840049,4,1400,840004,NA,1240,0.810065,0.810065,2006,2,1,2,0,0.276667,1,0.281713,1,0.5,0,0.33,0.276667,1,1,0,0.5,0.5,1,0,0,0,0,1,0.33,0.33,0.33,0.33,1,0,0,0,0,1,1,0.33,1,0.776667,1,0,0.111111,0.444444,0.185185,1,0.33,0,0.165,0.165,1,2,8400600002,0.648571,0.972856,84005212006,8405,8402006,2
"3",5,"USA","USA",2,1,840,840,1048,1,1,2,3,2,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,2,0,0,0,1,0,0,0,0,NA,1,2,2,2,2,2,1,2,2,2,2,2,8,5,1,4,1,2,2,1,1,1,2,2,2,2,2,3,3,3,2,3,2,8,2,1,1,3,1,4,1,2,1,1,1,4,2,2,2,2,5,4,4,5,2,1,5,5,5,10,2,1,3,3,NA,2,2,2,NA,2,3,3,2,3,3,3,2,2,2,6,1,8,1,10,1,1,8,8,9,3,1,1,1,2,2,2,1,1,3,2,3,2,1,2,3,2,2,2,2,2,3,3,3,4,4,2,1,5,10,10,10,10,8,10,10,9,10,10,8,2,1,1,4,NA,NA,NA,NA,NA,2,NA,2,1,1,1,1,1,1,1,2,2e+07,2,1,1,1,1,1,10,1,4,4,2,4,1,1,1,1,1,1,1,5,1,1,1,1,1,2,1,1,2,2,1,1,3,1,1,5,1240,1,1,1,1,2,2,1,1,840001,840001,8,840002,840001,1,1,1926,80,3,6,3,1,840001,15,2,4,NA,NA,NA,NA,NA,NA,2,1,5,3,2,7,840055,7,1400,840003,NA,1240,0.640051,0.640051,2006,2,0,1,0,0.096389,1,0.327871,1,0,0,0.66,0.22,1,0,0,0.166667,0.055556,1,0,0,0,0,1,0,0.33,0,0.11,1,1,0,1,0.666667,1,0.5,0.33,0.66,0.496667,1,0,0,0.444444,0.148148,1,0,0,0,0,1,2,8400600003,0.512451,0.768676,84005212006,8405,8402006,2
"4",5,"USA","USA",2,1,840,840,380,1,2,2,2,3,3,2,3,2,2,1,1,1,2,2,1,2,1,8,1,1,2,0,0,1,0,0,0,0,NA,1,2,2,1,2,2,1,2,2,2,2,1,8,9,2,1,3,4,2,4,3,1,1,2,1,1,2,3,2,1,2,3,2,8,2,1,3,4,3,1,1,2,1,2,1,5,5,2,4,2,5,5,2,2,2,1,6,8,7,6,3,1,2,2,NA,1,2,2,NA,2,1,1,2,1,1,1,1,2,1,5,1,9,4,8,2,5,5,7,5,2,1,2,2,2,2,2,3,2,3,3,4,2,3,3,3,3,2,3,2,4,1,3,4,2,3,4,2,6,3,9,9,6,9,9,5,10,7,9,7,3,2,1,4,NA,NA,NA,NA,NA,2,NA,2,8,3,1,1,3,2,3,2,2e+07,5,2,2,1,1,2,6,2,5,2,4,2,2,4,2,1,5,4,3,5,5,1,1,2,2,1,1,2,2,2,2,3,3,1,1,6,1240,1,1,2,1,2,1,1,3,840002,840002,8,840001,840002,2,1,1928,78,3,6,5,2,840003,21,2,4,NA,NA,NA,NA,NA,NA,1,NA,4,1,2,7,840052,2,1400,840002,NA,1240,0.580046,0.580046,2006,2,2,2,NA,0.539723,1,0.341343,1,0.5,0.33,0,0.276667,1,0.66,1,0.666667,0.775556,1,1,1,0,0.666667,1,0.33,0.33,0.66,0.44,1,0,1,0,0.333333,1,0.5,0.33,0.66,0.496667,1,0.444444,0.222222,0.444444,0.37037,1,0.33,0,0.165,0.165,1,2,8400600004,0.464409,0.696613,84005212006,8405,8402006,2
"5",5,"USA","USA",2,1,840,840,632,1,1,1,3,3,1,1,3,2,2,2,2,1,2,1,1,1,1,3,1,2,0,0,0,2,0,0,0,0,NA,2,2,2,2,2,2,2,2,2,1,3,3,10,1,4,2,5,5,1,1,1,1,1,2,2,1,1,4,4,1,1,4,3,1,3,1,2,4,2,1,2,2,2,1,1,5,5,3,1,1,6,3,4,3,1,2,4,5,9,10,3,1,2,1,NA,1,2,2,NA,2,4,4,1,1,2,1,1,1,1,5,1,5,3,1,1,1,7,1,1,1,1,2,2,2,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,4,2,10,10,10,10,6,10,7,10,10,5,7,7,2,2,3,1,NA,NA,NA,NA,NA,1,2,1,4,1,2,2,3,1,1,9,9e+07,2,2,2,1,1,1,10,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,2,1,7,1240,1,1,2,1,2,2,1,2,840002,840002,8,5,840003,1,2,1973,33,2,2,6,3,840004,18,2,8,NA,NA,NA,NA,NA,NA,1,NA,14,2,5,1,840044,3,200,840003,NA,1240,0.990079,0.990079,2006,3,4,3,NA,0.262222,1,0.416667,1,0,0,0,0,1,0,1,0.166667,0.388889,1,0,0,0,0,1,0.66,0.66,0.66,0.66,1,0,0,0,0,1,1,0,1,0.666667,1,0,0,0,0,1,1,1,1,1,1,2,8400600005,0.792698,1.189046,84005212006,8405,8402006,2
"6",5,"USA","USA",2,2,840,840,238,1,1,2,4,2,4,2,2,1,1,1,2,2,1,1,2,2,2,4,1,0,0,0,0,0,0,0,0,0,NA,1,1,1,1,1,2,1,2,1,2,2,1,5,5,1,2,3,3,2,3,3,6,2,1,NA,2,NA,NA,NA,2,1,3,1,4,1,2,NA,NA,1,4,NA,2,1,2,2,5,2,6,NA,5,5,2,3,6,4,1,5,7,3,1,4,2,2,2,NA,2,2,2,NA,2,4,4,1,4,4,4,3,3,3,5,1,5,5,4,3,4,4,7,8,4,1,2,2,2,2,3,4,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,NA,NA,NA,5,1,8,5,4,8,8,8,8,8,5,5,3,2,4,3,4,3,NA,2,3,NA,NA,2,10,NA,NA,NA,NA,NA,4,0,100000020,7,2,NA,NA,NA,NA,4,2,5,1,5,1,5,5,4,1,1,1,8,8,10,5,1,2,2,3,1,NA,NA,2,2,2,1,1,1,3,1240,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,2,1,1978,28,1,2,5,2,840003,18,1,1,5,2,1,5,5,1,2,1,7,2,3,2,840053,5,1400,840009,NA,1240,1.440115,1.440115,2006,4,NA,NA,2,0.650834,1,0.478808,0.83,0.5,0.33,0.33,0.386667,1,1,1,1,1,1,1,1,0,0.666667,1,0.33,0.66,0.66,0.55,1,1,0,1,0.666667,1,0.5,NA,NA,NA,0.66,0,0.777778,0.777778,0.518519,1,NA,0,NA,0.141,0.66,2,8400600006,1.153015,1.729522,84005212006,8405,8402006,2
"7",5,"USA","USA",2,1,840,840,828,1,1,1,2,2,1,2,4,1,2,1,2,1,2,1,2,2,1,5,1,1,0,0,2,0,1,0,1,0,NA,1,2,2,2,1,2,1,2,2,2,2,1,7,6,2,1,1,2,1,1,2,3,1,2,2,1,3,3,2,2,2,3,2,6,1,2,2,1,4,1,1,3,2,1,1,4,5,3,NA,2,3,3,5,2,3,1,9,9,6,7,2,1,2,1,NA,1,2,2,NA,2,1,1,2,3,3,3,2,1,2,5,1,6,5,5,6,5,5,6,8,3,1,2,1,3,2,2,2,1,2,2,2,2,2,3,3,3,2,3,3,2,3,NA,3,2,2,4,3,6,2,9,9,5,5,9,9,9,9,10,7,2,2,1,5,NA,NA,NA,NA,NA,2,NA,1,10,3,1,1,2,2,1,2,2e+07,6,1,2,2,1,2,10,1,2,2,4,2,1,1,1,1,1,1,2,5,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,5,1240,2,1,2,1,2,1,1,1,840002,840002,840001,5,4,1,2,1931,75,3,6,5,2,840003,12,2,4,NA,NA,NA,NA,NA,NA,1,NA,9,3,3,3,840046,7,1400,840006,NA,1240,0.590047,0.590047,2006,1,1,2,1,0.151945,1,0.363796,1,0,0,0.33,0.11,1,0,0,0.833333,0.277778,1,0,0,0,0,1,0,0.33,0.33,0.22,1,1,0,0,0.333333,1,0.5,0.66,0.66,0.606667,1,0,0.111111,0.444444,0.185185,1,0.66,0,0.33,0.33,1,2,8400600007,0.472416,0.708624,84005212006,8405,8402006,2
"8",5,"USA","USA",2,2,840,840,1100,1,1,1,3,2,2,2,2,2,2,1,1,1,2,1,2,2,1,8,2,0,0,0,0,0,0,0,0,0,NA,1,2,2,2,2,2,1,2,2,2,3,1,8,6,3,1,4,2,4,4,4,1,1,2,1,2,4,4,4,3,1,4,2,8,3,2,2,1,3,2,1,1,2,1,1,1,5,1,4,2,5,1,2,2,2,1,7,7,8,10,4,1,3,3,NA,1,2,2,NA,1,2,4,2,1,1,1,1,1,1,5,1,7,5,6,5,4,5,7,7,3,2,2,2,4,2,3,3,1,3,2,3,2,3,4,4,4,4,3,3,2,2,4,3,4,1,1,4,5,5,5,5,10,5,10,10,5,10,1,1,4,2,1,2,1,1,2,1,1,3,NA,2,10,3,3,3,3,3,2,9,9e+07,7,1,2,2,2,2,10,1,1,1,5,1,1,1,1,1,5,1,5,5,3,1,1,2,2,2,1,1,3,2,2,3,2,1,1,7,1240,2,1,2,1,2,1,2,3,5,5,NA,NA,4,2,2,1970,36,2,3,5,2,840003,17,2,5,NA,NA,NA,NA,NA,NA,2,1,14,2,2,6,840051,4,1400,840004,NA,1240,0.770062,0.770062,2006,2,4,2,0,0.275833,1,0.651944,1,0,0.33,0.66,0.33,1,0.33,0,1,0.443333,1,0,0,0,0,1,0,0.33,0.66,0.33,1,0,1,0,0.333333,1,1,1,1,1,1,0.444444,0.444444,0.444444,0.444444,1,0.66,1,0.83,0.83,1,2,8400600008,0.616543,0.924814,84005212006,8405,8402006,2
"9",5,"USA","USA",2,2,840,840,289,2,2,2,2,3,3,1,1,1,2,1,2,1,1,1,2,2,2,10,2,0,0,0,0,0,0,0,0,0,NA,1,2,2,2,2,2,1,2,2,2,3,2,10,9,4,1,3,3,3,2,2,3,1,2,1,2,3,3,3,3,2,3,1,9,1,2,2,4,1,2,1,3,1,1,1,2,5,6,4,2,5,3,3,1,2,1,10,10,2,1,1,1,2,2,NA,1,2,2,NA,1,2,2,3,1,1,1,2,1,1,8,1,8,4,9,1,1,9,8,10,2,1,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,3,2,2,2,3,3,2,2,4,2,9,6,10,10,8,9,9,9,9,10,10,5,1,2,1,3,2,2,2,2,2,2,NA,2,5,3,3,1,3,1,3,9,9e+07,5,3,NA,NA,NA,NA,8,1,4,2,4,4,1,1,1,1,8,8,5,1,10,1,1,1,1,2,1,1,3,2,2,3,3,1,1,5,1240,1,1,1,1,2,1,1,3,840002,840002,8,NA,840003,1,1,1946,60,3,5,3,1,840001,18,2,3,14,NA,5,7,10,2,1,NA,4,1,4,7,840057,5,1400,840004,NA,1240,1.890151,1.890151,2006,2,3,3,2,0.331389,1,0.586852,1,0,0,0.66,0.22,1,0.66,1,0.666667,0.775556,1,0,0,0,0,1,0.33,0.33,0.33,0.33,1,1,0,1,0.666667,1,1,0.66,0.66,0.773333,1,0.777778,0.444444,0,0.407407,1,1,0,0.5,0.5,1,2,8400600009,1.513332,2.269998,84005212006,8405,8402006,2
"10",5,"USA","USA",2,2,840,840,1265,1,1,3,3,1,2,2,3,1,2,2,2,1,2,2,2,1,1,6,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,5,5,4,1,3,3,3,3,NA,1,1,1,1,4,4,4,4,4,4,4,4,5,1,2,1,2,4,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,5,5,5,5,3,1,2,2,2,1,2,2,NA,2,3,3,3,2,2,NA,2,2,2,5,1,NA,4,4,4,4,4,5,NA,3,1,2,1,3,3,3,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,2,2,2,2,3,NA,3,NA,3,3,3,3,3,3,3,3,2,2,NA,NA,4,4,4,4,4,2,NA,2,NA,2,2,2,2,2,2,0,100000020,7,2,1,1,1,1,4,2,4,4,4,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,2,2,2,2,3,1240,2,2,2,2,NA,NA,2,2,840002,840002,8,840001,840002,2,1,1944,62,3,5,3,1,840001,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840044,NA,200,840002,NA,1240,0.460037,0.460037,2006,2,1,2,0,0.624167,1,0.388472,1,0.5,0.66,1,0.72,1,0.33,1,1,0.776667,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0.333333,1,0.5,1,1,0.833333,1,0.222222,0.222222,0.222222,0.222222,1,0.33,0,0.165,0.165,1,2,8400600010,0.368324,0.552486,84005212006,8405,8402006,2
