"","V1","V2","V2A","C_COW_ALPHA","B_COUNTRY_ALPHA","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125_05","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V144G","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215_07","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V228_LOCAL","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","X003R2","X003R","V243","V244","V245","V246","V247","V248","V248_CS","V249","V250","V254","N_REGION_ISO","V256","V256B","V257","V258","V258A","V260","V261","V262","Y001","Y001_1","Y001_2","Y001_3","Y001_4","Y001_5","Y002","Y003","SACSECVAL","SECVALWGT","RESEMAVAL","WEIGHTB","I_AUTHORITY","I_NATIONALISM","I_DEVOUT","DEFIANCE","WEIGHT1A","I_RELIGIMP","I_RELIGBEL","I_RELIGPRAC","DISBELIEF","WEIGHT2A","I_NORM1","I_NORM2","I_NORM3","RELATIVISM","WEIGHT3A","I_TRUSTARMY","I_TRUSTPOLICE","I_TRUSTCOURTS","SCEPTICISM","WEIGHT4A","I_INDEP","I_IMAGIN","I_NONOBED","AUTONOMY","WEIGHT1B","I_WOMJOB","I_WOMPOL","I_WOMEDU","EQUALITY","WEIGHT2B","I_HOMOLIB","I_ABORTLIB","I_DIVORLIB","CHOICE","WEIGHT3B","I_VOICE1","I_VOICE2","I_VOI2_00","VOICE","WEIGHT4B","S001","S007","S018","S019","S021","S024","S025","COW"
"1",6,840,840,"USA","USA",48,1,2,1,2,1,2,2,2,1,2,1,1,1,2,2,2,2,1,2,7,2,1,0,0,0,1,0,0,0,0,0,0,1,2,2,2,2,2,1,2,2,3,2,1,2,3,4,4,3,4,1,8,5,6,5,4,1,2,3,2,1,4,1,3,2,1,5,5,3,5,4,5,6,5,6,3,1,2,2,2,2,1,3,3,3,3,2,NA,NA,NA,NA,6,5,5,6,5,5,1,2,2,2,3,2,2,4,2,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,1,7,1,10,5,2,10,5,3,10,10,5,3,2,2e+07,2,6,3,1,1,1,2,2,10,3,4,3,1,1,5,5,5,3,2,4,6,2,4,4,4,3,3,3,4,4,4,4,1,5,5,5,5,2,4,3,3,3,2,1,4,3,4,4,1,1,5,10,1,5,1,1,1,1,1,5,8,10,5,1,1,3,1,1,1,2,1,1,3,5,4,1,4,1,1,1,3,3,2,1,840002,840002,2,NA,5,5,5,2,1,NA,2,4,5,2,1942,69,3,6,2,2,1,1,1240,8,840110,35,2,840003,840047,840013,840091,1240,0.64,0.64,1,20110610,2011,1,0,0,1,0,0,2,0,0.289445,1,0.614769,1,0,0,0.66,0.22,1,0.33,0,0.833333,0.387778,1,0,0,0,0,1,0.33,0.66,0.66,0.55,1,1,1,0,0.666667,1,1,1,0.66,0.886667,1,0.444444,0.777778,1,0.740741,1,0.33,0,0.165,0.165,1,2,8400600001,0.286738,0.430108,84006212011,8406,8402011,2
"2",6,840,840,"USA","USA",49,1,1,2,3,3,4,1,4,1,1,1,2,1,2,2,2,1,2,2,8,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,2,2,3,3,3,1,2,3,3,3,3,2,10,8,1,1,7,1,3,3,2,1,2,2,3,2,2,4,4,3,4,3,4,4,3,3,4,4,2,2,2,2,3,2,3,3,3,NA,NA,NA,NA,NA,4,8,5,7,3,3,5,1,2,1,2,2,2,4,2,3,3,3,2,2,2,3,4,2,2,2,2,3,2,2,3,3,2,3,4,1,5,2,7,4,3,8,3,3,10,10,9,1,3,100000020,0,7,8,2,2,2,2,2,1,4,4,4,1,5,8,8,5,3,4,4,10,3,NA,4,4,3,1,3,4,4,4,4,5,1,5,5,5,3,3,3,2,4,3,1,4,4,4,4,10,10,1,1,1,10,1,1,1,1,3,10,8,10,8,7,1,1,1,5,2,2,2,2,2,1,2,2,4,4,1,1,2,3,3,3,2,2,5,NA,10,1,7,2,2,1,1,3,4,2,1971,40,2,3,2,2,2,2,1240,9,840111,34,2,840004,840005,840013,840093,1240,1.84,1.84,1,20110610,2011,3,1,0,1,0,1,2,1,0.521281,0.915,0.695232,1,0.5,NA,0.33,0.42179,0.66,1,1,1,1,1,0,0,1,0.333333,1,0.33,0.33,0.33,0.33,1,1,0,1,0.666667,1,1,0.66,0.66,0.773333,1,1,0.777778,1,0.925926,1,0.33,0.5,0.415,0.415,1,2,8400600002,0.824373,1.236559,84006212011,8406,8402011,2
"3",6,840,840,"USA","USA",50,1,3,1,3,2,3,2,1,1,1,1,2,2,1,1,2,2,2,2,8,2,1,0,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,1,2,2,3,2,2,2,2,3,2,3,2,2,9,7,1,5,9,1,3,3,2,1,4,1,3,1,2,2,3,2,2,4,1,2,2,4,3,4,1,2,2,3,2,2,2,3,2,NA,NA,NA,NA,NA,7,7,4,8,3,3,7,2,1,2,3,3,3,3,1,3,3,3,2,2,3,3,3,2,1,3,3,3,3,3,NA,3,3,2,3,1,3,1,10,3,3,10,3,5,10,10,7,2,3,9e+07,9,7,8,2,1,1,2,1,6,3,1,3,3,7,9,5,4,3,2,3,4,3,3,3,3,3,1,4,4,4,4,4,1,5,5,5,5,3,3,3,3,4,4,1,4,4,4,4,7,8,5,5,1,9,1,1,1,1,1,5,3,7,5,7,1,1,4,2,2,2,1,2,1,2,3,1,1,2,1,1,1,3,3,2,NA,NA,1,2,6,3,9,1,1,NA,1,2,7,1,1973,38,2,3,2,2,1,1,1240,9,840114,24,2,840002,840004,840005,840071,1240,2.34,2.34,1,20110610,2011,2,1,0,1,0,0,2,2,0.373334,1,0.547361,1,0.5,0.33,0.33,0.386667,1,0.66,1,1,0.886667,1,0,0,0,0,1,0,0.33,0.33,0.22,1,1,0,1,0.666667,1,1,0.33,0.66,0.663333,1,0.444444,0.222222,0.666667,0.444444,1,0.33,0.5,0.415,0.415,1,2,8400600003,1.048387,1.572581,84006212011,8406,8402011,2
"4",6,840,840,"USA","USA",51,1,2,2,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,2,8,1,2,0,0,0,1,0,0,0,0,0,0,1,2,2,2,1,2,1,1,2,2,1,2,3,3,3,2,3,3,1,7,5,1,3,8,2,1,3,2,1,4,1,3,2,1,3,5,3,5,3,5,5,2,5,3,1,2,2,2,2,1,2,2,3,3,1,NA,NA,NA,NA,NA,1,1,9,2,2,8,2,3,2,3,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,1,5,3,10,7,7,5,3,8,10,10,7,2,2,9e+07,9,1,1,1,1,1,NA,1,10,1,2,3,2,5,8,8,5,3,3,3,7,3,3,4,4,4,3,3,3,4,4,2,5,5,5,5,5,4,4,3,2,3,3,1,4,4,4,4,6,6,7,7,7,7,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2,2,2,NA,2,1,NA,1,2,1,1,1,2,3,NA,NA,NA,NA,4,2,NA,NA,NA,1,2,2,3,2,6,2,1950,61,3,5,2,2,1,1,1240,7,840109,18,2,840002,840050,840003,840055,1240,0.5,0.5,1,20110610,2011,1,0,0,1,0,0,2,0,0.1375,1,0.36912,1,0,0,0.66,0.22,1,0,0,0,0,1,0,0,0,0,1,0.33,0.33,0.33,0.33,1,1,0,1,0.666667,1,0.5,0.33,0.66,0.496667,1,0,0,0.444444,0.148148,1,0.33,0,0.165,0.165,1,2,8400600004,0.224014,0.336022,84006212011,8406,8402011,2
"5",6,840,840,"USA","USA",52,1,1,1,2,NA,1,1,1,1,1,1,2,1,2,2,2,2,2,1,10,1,2,0,2,1,1,0,1,1,0,0,0,1,2,2,2,2,2,2,2,2,3,1,2,1,2,3,3,4,4,2,10,10,1,1,10,1,2,3,2,1,4,2,1,2,2,4,1,1,1,1,2,2,1,3,1,4,2,1,2,2,1,3,3,3,3,1,NA,NA,NA,NA,7,5,5,7,5,2,8,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,3,3,1,2,1,10,7,2,4,1,6,10,10,10,2,2,1e+07,1,2,1,1,1,1,2,2,10,3,3,2,1,3,9,7,4,2,2,2,5,2,3,3,3,3,1,4,4,4,4,4,5,5,5,5,5,4,4,2,3,4,4,1,4,4,4,4,9,9,9,2,2,10,1,1,1,1,1,9,5,5,5,1,1,1,1,1,2,2,1,1,3,1,2,1,1,1,1,1,1,3,2,1,840001,840001,4,NA,NA,8,8,2,2,2,1,1,10,2,1949,62,3,5,2,2,1,1,1240,9,840113,22,2,840002,840038,840002,840023,1240,0.29,0.29,1,20110610,2011,1,0,0,1,0,0,2,1,0.138056,1,0.577732,1,0.5,0,0.33,0.276667,1,0,0,0.166667,0.055556,1,0,0,0,0,1,0,0.33,0.33,0.22,1,1,0,1,0.666667,1,1,0.66,1,0.886667,1,0.888889,0.444444,0.444444,0.592592,1,0.33,0,0.165,0.165,1,2,8400600005,0.129928,0.194892,84006212011,8406,8402011,2
"6",6,840,840,"USA","USA",53,1,1,2,1,1,2,2,2,2,1,1,2,1,1,1,2,2,2,2,6,1,1,1,0,0,2,2,2,2,0,0,0,1,2,2,2,2,2,1,2,2,3,3,1,1,2,2,3,3,3,3,5,5,3,2,2,1,2,4,2,3,1,2,1,2,2,2,5,4,6,1,3,5,4,1,4,1,1,1,2,1,1,1,1,2,1,3,3,2,NA,2,4,3,2,4,4,2,2,1,2,1,2,2,2,3,3,3,3,3,3,3,4,4,4,3,2,4,4,2,3,2,3,4,4,4,4,2,8,1,10,10,1,10,5,1,10,10,3,3,1,1e+07,1,4,3,1,1,1,2,2,9,3,3,4,2,2,9,2,8,3,3,3,10,2,2,3,3,2,2,4,4,4,4,4,5,5,5,5,5,1,1,3,3,3,3,1,2,4,1,1,8,7,5,5,3,9,1,1,1,1,1,10,5,5,10,5,1,5,2,2,1,1,1,1,1,1,4,1,1,5,3,3,2,3,1,1,840002,840002,3,2,7,7,8,1,1,NA,4,4,3,1,1962,49,2,4,2,2,1,1,1240,9,840112,24,2,840002,840021,840001,840014,1240,1.34,1.34,1,20110610,2011,3,0,1,1,1,0,3,1,0.330834,1,0.559074,1,0.5,0.33,0.33,0.386667,1,0.33,0,0.5,0.276667,1,0,0,0,0,1,0.66,0.66,0.66,0.66,1,0,0,1,0.333333,1,1,0.66,0.66,0.773333,1,1,0.444444,0.444444,0.629629,1,1,0,0.5,0.5,1,2,8400600006,0.600358,0.900538,84006212011,8406,8402011,2
"7",6,840,840,"USA","USA",54,2,1,1,3,2,2,2,3,2,2,1,1,1,2,1,2,1,2,2,7,2,2,2,1,0,0,2,0,1,0,0,0,2,2,2,2,2,2,1,2,2,3,1,2,3,3,4,3,3,3,1,9,6,6,0,2,3,1,2,3,3,2,2,1,1,3,1,4,5,3,1,5,2,5,4,5,1,2,NA,NA,3,1,2,2,2,2,3,NA,NA,NA,NA,5,5,3,8,4,4,6,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,4,4,2,3,2,4,3,4,2,4,2,8,2,9,2,2,7,2,4,8,8,7,2,1,9e+07,9,2,3,1,1,2,2,2,8,3,4,2,2,7,8,3,4,3,1,2,3,2,2,3,3,2,2,3,3,3,2,3,1,1,1,1,5,1,2,2,2,3,3,1,3,2,2,3,3,3,9,5,3,7,2,4,4,4,5,10,8,7,7,5,1,2,3,3,2,3,2,2,2,5,4,3,2,5,4,1,2,3,3,3,5,5,6,NA,7,7,6,2,2,1,2,3,5,2,1993,18,1,1,2,1,2,1,1240,7,840109,24,1,840002,840014,840006,840032,1240,0.17,0.17,1,20110610,2011,4,1,1,0,1,1,2,1,0.649722,1,0.771204,1,1,0.66,0.66,0.773333,1,0.33,0,0.166667,0.165556,1,1,1,1,1,1,0.66,0.66,0.66,0.66,1,0,1,1,0.666667,1,1,0.66,0.66,0.773333,1,1,0.777778,0.666667,0.814815,1,0.66,1,0.83,0.83,1,2,8400600007,0.076165,0.114247,84006212011,8406,8402011,2
"8",6,840,840,"USA","USA",55,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,2,7,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,1,3,2,1,3,3,4,4,2,7,5,1,2,6,1,2,4,3,1,4,1,2,1,2,5,6,3,5,4,5,5,3,2,3,1,1,2,2,2,1,3,2,3,3,1,NA,NA,NA,NA,5,8,8,6,9,8,3,2,2,2,3,2,2,2,1,2,2,3,1,2,2,3,3,2,2,2,2,2,2,2,2,2,3,4,4,2,3,3,9,5,3,6,2,2,2,10,8,2,2,100000020,0,6,3,1,1,1,2,1,9,3,4,3,1,5,7,6,8,3,2,3,6,2,4,4,4,4,2,4,4,4,4,4,1,1,5,5,5,1,3,2,3,4,4,1,4,4,3,3,6,5,9,7,5,8,1,1,1,1,1,4,5,6,3,1,1,1,1,1,2,2,2,2,3,4,4,1,4,5,2,2,1,3,1,1,840002,840002,1,2,8,2,8,1,2,1,2,4,6,2,1958,53,3,4,2,2,1,1,1240,7,840109,26,2,840002,840006,840008,840084,1240,0.52,0.52,1,20110610,2011,1,0,1,0,0,0,2,NA,0.166111,1,0.581945,1,0.5,0,0,0.166667,1,0.33,0,0.833333,0.387778,1,0,0,0,0,1,0,0,0.33,0.11,1,1,1,0,0.666667,1,1,0.66,1,0.886667,1,0.333333,0.444444,0.555556,0.444444,1,0.66,0,0.33,0.33,1,2,8400600008,0.232975,0.349462,84006212011,8406,8402011,2
"9",6,840,840,"USA","USA",56,1,1,2,2,1,2,2,1,2,1,1,2,1,2,1,2,2,1,2,7,2,2,2,0,0,2,0,2,1,0,0,0,1,2,2,1,2,2,1,2,2,2,1,3,1,2,3,2,4,2,2,7,4,6,0,5,1,2,3,4,1,4,1,2,1,1,4,4,3,5,2,2,5,2,4,2,4,2,2,2,1,1,3,3,3,3,2,NA,NA,NA,NA,7,8,1,10,1,2,10,1,2,1,3,3,3,1,1,3,3,4,2,1,2,3,2,2,2,2,2,3,2,2,3,4,3,4,4,1,1,1,10,5,1,10,1,7,10,10,7,2,2,9e+07,9,2,3,1,1,1,2,2,9,3,4,4,3,3,7,5,5,3,1,3,7,2,2,3,3,3,2,4,3,4,4,4,1,1,5,5,5,1,4,2,2,4,4,1,4,4,4,3,7,4,6,7,7,8,1,1,1,1,1,10,3,6,10,1,1,1,7,1,3,2,1,3,3,2,3,2,2,3,2,1,1,3,1,1,840001,840001,8,NA,10,6,6,2,1,NA,2,2,7,1,1986,25,1,2,2,2,1,1,1240,9,840112,25,2,840002,840022,840006,840034,1240,2.39,2.39,1,20110610,2011,1,0,0,1,0,0,2,0,0.096389,1,0.341898,1,0,0,0.33,0.11,1,0.33,0,0.166667,0.165556,1,0,0,0,0,1,0,0.33,0,0.11,1,0,0,0,0,1,0.5,0.33,1,0.61,1,1,0.222222,0.555556,0.592593,1,0.33,0,0.165,0.165,1,2,8400600009,1.070789,1.606183,84006212011,8406,8402011,2
"10",6,840,840,"USA","USA",57,1,1,2,3,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,8,1,1,1,2,0,0,0,2,1,1,0,2,1,2,1,2,2,2,1,2,2,3,1,3,2,1,3,3,3,3,2,6,7,6,0,7,1,3,3,1,1,3,2,2,2,2,3,4,2,4,4,1,2,4,4,2,1,2,1,2,3,1,3,3,3,3,2,NA,NA,NA,NA,7,7,4,8,4,2,6,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,3,3,6,3,8,4,3,5,3,7,10,9,6,3,1,1e+07,1,4,4,1,1,1,2,2,6,3,4,2,2,3,8,4,7,3,2,3,7,2,3,3,3,3,1,4,4,4,4,4,5,1,5,5,5,4,3,3,3,3,3,1,4,4,4,4,9,8,6,6,7,10,2,4,2,2,1,5,5,5,8,5,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,2,1,3,1,1,840001,840001,6,NA,9,9,9,2,2,1,1,2,8,2,1988,23,1,1,2,2,1,1,1240,9,840112,26,2,840002,840037,840013,840092,1240,0.84,0.84,1,20110610,2011,2,1,0,0,0,1,1,1,0.36,1,0.616944,1,0.5,0,0,0.166667,1,0.33,0,0.5,0.276667,1,1,1,0,0.666667,1,0.33,0.33,0.33,0.33,1,1,1,1,1,1,1,0.66,0.66,0.773333,1,0.444444,0.444444,0.444444,0.444444,1,0,0.5,0.25,0.25,1,2,8400600010,0.376344,0.564516,84006212011,8406,8402011,2
