"","wave","happiness","religionmem","freedom","health","income"
"1",1,2,2,7,NA,10
"2",1,3,2,4,5,4
"3",1,2,2,8,1,1
"4",1,2,2,2,2,9
"5",1,3,2,1,2,8
"6",1,1,2,8,1,9
"7",1,3,2,8,1,6
"8",1,2,1,9,4,5
"9",1,2,2,8,1,9
"10",1,2,2,8,2,3
"11",1,2,2,9,2,5
"12",1,2,2,9,3,8
"13",1,2,2,6,3,NA
"14",1,2,2,5,3,NA
"15",1,3,2,6,4,6
"16",1,NA,2,1,3,6
"17",1,2,2,8,3,8
"18",1,3,2,8,3,9
"19",1,1,2,8,1,NA
"20",1,NA,2,3,3,5
"21",1,2,2,7,3,7
"22",1,3,2,8,3,7
"23",1,NA,2,5,3,10
"24",1,1,2,10,3,8
"25",1,2,2,5,3,6
"26",1,1,2,5,1,9
"27",1,2,2,NA,2,6
"28",1,2,2,4,3,8
"29",1,1,1,10,3,9
"30",1,3,1,1,3,NA
"31",1,2,2,9,1,8
"32",1,2,2,8,1,9
"33",1,2,2,10,3,7
"34",1,1,1,5,2,3
"35",1,2,1,8,3,10
"36",1,1,2,NA,2,10
"37",1,3,1,8,2,7
"38",1,2,2,8,2,NA
"39",1,1,2,4,3,10
"40",1,2,2,7,4,10
"41",1,1,2,9,1,NA
"42",1,2,2,1,3,7
"43",1,1,2,6,2,1
"44",1,2,2,5,4,8
"45",1,1,2,10,2,8
"46",1,2,2,10,2,8
"47",1,1,2,10,1,1
"48",1,2,2,10,2,9
"49",1,2,2,8,5,6
"50",1,2,2,8,1,3
"51",1,3,2,6,3,8
"52",1,3,2,5,3,NA
"53",1,2,2,10,3,NA
"54",1,2,2,10,3,NA
"55",1,2,2,7,2,8
"56",1,2,2,7,3,9
"57",1,2,2,1,3,NA
"58",1,2,2,7,2,7
"59",1,1,2,7,1,7
"60",1,2,1,8,3,NA
"61",1,2,2,10,1,10
"62",1,2,2,9,1,NA
"63",1,3,2,2,4,1
"64",1,2,2,9,2,10
"65",1,2,2,6,1,6
"66",1,1,2,6,1,NA
"67",1,2,2,10,2,8
"68",1,2,2,6,3,6
"69",1,4,2,10,2,7
"70",1,2,2,8,4,8
"71",1,2,2,8,1,10
"72",1,2,1,10,1,9
"73",1,2,2,10,1,7
"74",1,4,2,6,2,7
"75",1,2,1,9,2,10
"76",1,2,2,9,2,10
"77",1,1,2,3,2,8
"78",1,2,2,7,3,10
"79",1,1,2,8,1,10
"80",1,2,2,9,2,9
"81",1,3,2,1,3,6
"82",1,2,2,5,3,8
"83",1,2,2,6,4,8
"84",1,2,2,5,4,9
"85",1,1,2,8,2,8
"86",1,4,1,9,3,5
"87",1,3,2,7,3,3
